image_id,file_name,scene_id,scene_family,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,num_objects,camera_view,lighting_condition
1,000000.png,pilot_v2_scene_000,reflective_metal,reflective_metal,1,0,0,1,0,15,top,randomized
2,000001.png,pilot_v2_scene_001,transparent_glass,transparent_glass,1,1,1,1,0,18,oblique,randomized
3,000002.png,pilot_v2_scene_002,partial_occlusion,partial_occlusion,1,1,1,1,0,20,top,randomized
4,000003.png,pilot_v2_scene_003,small_parts,small_parts,1,0,0,1,0,39,oblique,randomized
5,000004.png,pilot_v2_scene_004,dynamic_scene,dynamic_scene,1,0,1,1,1,20,top,randomized
6,000005.png,pilot_v2_scene_005,reflective_metal,reflective_metal,1,0,1,1,0,23,front,randomized
7,000006.png,pilot_v2_scene_006,transparent_glass,transparent_glass,1,1,1,1,0,18,top,randomized
8,000007.png,pilot_v2_scene_007,partial_occlusion,partial_occlusion,1,0,1,1,0,17,oblique,randomized
9,000008.png,pilot_v2_scene_008,small_parts,small_parts,1,0,1,1,0,46,top,randomized
10,000009.png,pilot_v2_scene_009,dynamic_scene,dynamic_scene,1,1,1,1,1,20,top,randomized
11,000010.png,pilot_v2_scene_010,reflective_metal,reflective_metal,1,0,1,1,0,22,top,randomized
12,000011.png,pilot_v2_scene_011,transparent_glass,transparent_glass,1,1,1,0,0,14,oblique,randomized
13,000012.png,pilot_v2_scene_012,partial_occlusion,partial_occlusion,1,1,1,1,0,23,oblique,randomized
14,000013.png,pilot_v2_scene_013,small_parts,small_parts,1,0,1,1,0,35,oblique,randomized
15,000014.png,pilot_v2_scene_014,dynamic_scene,dynamic_scene,1,0,0,1,1,21,top,randomized
16,000015.png,pilot_v2_scene_015,reflective_metal,reflective_metal,1,0,0,1,0,14,front,randomized
17,000016.png,pilot_v2_scene_016,transparent_glass,transparent_glass,0,1,0,1,0,13,front,randomized
18,000017.png,pilot_v2_scene_017,partial_occlusion,partial_occlusion,1,1,1,1,0,19,oblique,randomized
19,000018.png,pilot_v2_scene_018,small_parts,small_parts,1,0,1,1,0,31,oblique,randomized
20,000019.png,pilot_v2_scene_019,dynamic_scene,dynamic_scene,1,1,1,1,1,25,oblique,randomized
21,000020.png,pilot_v2_scene_020,reflective_metal,reflective_metal,1,0,1,1,0,21,oblique,randomized
22,000021.png,pilot_v2_scene_021,transparent_glass,transparent_glass,1,1,0,1,0,17,oblique,randomized
23,000022.png,pilot_v2_scene_022,partial_occlusion,partial_occlusion,1,1,1,1,0,24,front,randomized
24,000023.png,pilot_v2_scene_023,small_parts,small_parts,1,0,0,1,0,23,oblique,randomized
25,000024.png,pilot_v2_scene_024,dynamic_scene,dynamic_scene,1,0,1,1,1,20,oblique,randomized
26,000025.png,pilot_v2_scene_025,reflective_metal,reflective_metal,1,0,1,1,0,22,top,randomized
27,000026.png,pilot_v2_scene_026,transparent_glass,transparent_glass,1,1,1,1,0,16,front,randomized
28,000027.png,pilot_v2_scene_027,partial_occlusion,partial_occlusion,1,1,1,1,0,24,top,randomized
29,000028.png,pilot_v2_scene_028,small_parts,small_parts,1,0,1,1,0,26,top,randomized
30,000029.png,pilot_v2_scene_029,dynamic_scene,dynamic_scene,1,1,1,1,1,25,front,randomized
31,000030.png,pilot_v2_scene_030,reflective_metal,reflective_metal,1,0,1,1,0,22,front,randomized
32,000031.png,pilot_v2_scene_031,transparent_glass,transparent_glass,1,1,0,1,0,19,top,randomized
33,000032.png,pilot_v2_scene_032,partial_occlusion,partial_occlusion,1,1,1,1,0,21,top,randomized
34,000033.png,pilot_v2_scene_033,small_parts,small_parts,1,0,1,1,0,34,top,randomized
35,000034.png,pilot_v2_scene_034,dynamic_scene,dynamic_scene,1,0,0,1,1,12,oblique,randomized
36,000035.png,pilot_v2_scene_035,reflective_metal,reflective_metal,1,0,0,1,0,12,oblique,randomized
37,000036.png,pilot_v2_scene_036,transparent_glass,transparent_glass,1,1,0,1,0,11,top,randomized
38,000037.png,pilot_v2_scene_037,partial_occlusion,partial_occlusion,1,1,1,1,0,20,oblique,randomized
39,000038.png,pilot_v2_scene_038,small_parts,small_parts,1,0,0,1,0,35,front,randomized
40,000039.png,pilot_v2_scene_039,dynamic_scene,dynamic_scene,1,0,1,1,1,23,top,randomized
41,000040.png,pilot_v2_scene_040,reflective_metal,reflective_metal,1,0,0,1,0,13,front,randomized
42,000041.png,pilot_v2_scene_041,transparent_glass,transparent_glass,1,1,1,1,0,20,top,randomized
43,000042.png,pilot_v2_scene_042,partial_occlusion,partial_occlusion,0,1,1,1,0,19,oblique,randomized
44,000043.png,pilot_v2_scene_043,small_parts,small_parts,0,0,0,1,0,32,oblique,randomized
45,000044.png,pilot_v2_scene_044,dynamic_scene,dynamic_scene,1,1,1,1,1,25,oblique,randomized
46,000045.png,pilot_v2_scene_045,reflective_metal,reflective_metal,1,0,0,1,0,16,oblique,randomized
47,000046.png,pilot_v2_scene_046,transparent_glass,transparent_glass,1,1,0,1,0,14,front,randomized
48,000047.png,pilot_v2_scene_047,partial_occlusion,partial_occlusion,1,1,1,1,0,24,front,randomized
49,000048.png,pilot_v2_scene_048,small_parts,small_parts,1,0,1,1,0,28,oblique,randomized
50,000049.png,pilot_v2_scene_049,dynamic_scene,dynamic_scene,1,1,1,1,1,25,front,randomized
51,000050.png,pilot_v2_scene_050,reflective_metal,reflective_metal,1,0,0,1,0,17,top,randomized
52,000051.png,pilot_v2_scene_051,transparent_glass,transparent_glass,0,1,1,1,0,21,front,randomized
53,000052.png,pilot_v2_scene_052,partial_occlusion,partial_occlusion,1,1,1,1,0,21,front,randomized
54,000053.png,pilot_v2_scene_053,small_parts,small_parts,1,0,0,1,0,36,oblique,randomized
55,000054.png,pilot_v2_scene_054,dynamic_scene,dynamic_scene,1,1,1,1,1,22,oblique,randomized
56,000055.png,pilot_v2_scene_055,reflective_metal,reflective_metal,1,0,0,1,0,15,oblique,randomized
57,000056.png,pilot_v2_scene_056,transparent_glass,transparent_glass,1,1,0,0,0,14,front,randomized
58,000057.png,pilot_v2_scene_057,partial_occlusion,partial_occlusion,1,1,1,1,0,15,top,randomized
59,000058.png,pilot_v2_scene_058,small_parts,small_parts,1,0,1,1,0,41,oblique,randomized
60,000059.png,pilot_v2_scene_059,dynamic_scene,dynamic_scene,1,1,0,1,1,21,oblique,randomized
61,000060.png,pilot_v2_scene_060,reflective_metal,reflective_metal,1,0,1,1,0,22,oblique,randomized
62,000061.png,pilot_v2_scene_061,transparent_glass,transparent_glass,1,1,0,1,0,16,oblique,randomized
63,000062.png,pilot_v2_scene_062,partial_occlusion,partial_occlusion,1,1,1,1,0,18,oblique,randomized
64,000063.png,pilot_v2_scene_063,small_parts,small_parts,1,0,0,1,0,27,top,randomized
65,000064.png,pilot_v2_scene_064,dynamic_scene,dynamic_scene,1,1,1,1,1,24,oblique,randomized
66,000065.png,pilot_v2_scene_065,reflective_metal,reflective_metal,1,0,0,1,0,13,top,randomized
67,000066.png,pilot_v2_scene_066,transparent_glass,transparent_glass,1,1,1,1,0,17,oblique,randomized
68,000067.png,pilot_v2_scene_067,partial_occlusion,partial_occlusion,1,1,1,1,0,18,top,randomized
69,000068.png,pilot_v2_scene_068,small_parts,small_parts,0,0,0,1,0,36,oblique,randomized
70,000069.png,pilot_v2_scene_069,dynamic_scene,dynamic_scene,1,1,1,1,1,24,top,randomized
71,000070.png,pilot_v2_scene_070,reflective_metal,reflective_metal,1,0,1,1,0,17,oblique,randomized
72,000071.png,pilot_v2_scene_071,transparent_glass,transparent_glass,0,1,0,1,0,10,top,randomized
73,000072.png,pilot_v2_scene_072,partial_occlusion,partial_occlusion,1,1,1,1,0,24,oblique,randomized
74,000073.png,pilot_v2_scene_073,small_parts,small_parts,1,0,1,1,0,31,front,randomized
75,000074.png,pilot_v2_scene_074,dynamic_scene,dynamic_scene,1,1,1,1,1,25,oblique,randomized
76,000075.png,pilot_v2_scene_075,reflective_metal,reflective_metal,1,0,0,1,0,20,oblique,randomized
77,000076.png,pilot_v2_scene_076,transparent_glass,transparent_glass,1,1,1,1,0,19,top,randomized
78,000077.png,pilot_v2_scene_077,partial_occlusion,partial_occlusion,1,1,1,1,0,19,oblique,randomized
79,000078.png,pilot_v2_scene_078,small_parts,small_parts,0,0,1,1,0,32,oblique,randomized
80,000079.png,pilot_v2_scene_079,dynamic_scene,dynamic_scene,1,1,1,1,1,21,front,randomized
81,000080.png,pilot_v2_scene_080,reflective_metal,reflective_metal,1,0,1,1,0,24,front,randomized
82,000081.png,pilot_v2_scene_081,transparent_glass,transparent_glass,1,1,0,1,0,18,oblique,randomized
83,000082.png,pilot_v2_scene_082,partial_occlusion,partial_occlusion,1,1,1,1,0,19,top,randomized
84,000083.png,pilot_v2_scene_083,small_parts,small_parts,1,0,0,1,0,29,oblique,randomized
85,000084.png,pilot_v2_scene_084,dynamic_scene,dynamic_scene,1,1,0,1,1,13,top,randomized
86,000085.png,pilot_v2_scene_085,reflective_metal,reflective_metal,1,0,0,1,0,15,top,randomized
87,000086.png,pilot_v2_scene_086,transparent_glass,transparent_glass,1,1,1,1,0,12,oblique,randomized
88,000087.png,pilot_v2_scene_087,partial_occlusion,partial_occlusion,1,1,1,1,0,15,oblique,randomized
89,000088.png,pilot_v2_scene_088,small_parts,small_parts,1,0,1,1,0,34,oblique,randomized
90,000089.png,pilot_v2_scene_089,dynamic_scene,dynamic_scene,1,1,0,1,1,20,front,randomized
91,000090.png,pilot_v2_scene_090,reflective_metal,reflective_metal,1,0,1,1,0,20,top,randomized
92,000091.png,pilot_v2_scene_091,transparent_glass,transparent_glass,1,1,1,0,0,17,top,randomized
93,000092.png,pilot_v2_scene_092,partial_occlusion,partial_occlusion,1,1,1,1,0,18,oblique,randomized
94,000093.png,pilot_v2_scene_093,small_parts,small_parts,1,0,1,1,0,28,oblique,randomized
95,000094.png,pilot_v2_scene_094,dynamic_scene,dynamic_scene,1,1,1,1,1,20,oblique,randomized
96,000095.png,pilot_v2_scene_095,reflective_metal,reflective_metal,1,0,1,1,0,21,oblique,randomized
97,000096.png,pilot_v2_scene_096,transparent_glass,transparent_glass,1,1,1,1,0,18,top,randomized
98,000097.png,pilot_v2_scene_097,partial_occlusion,partial_occlusion,1,1,1,1,0,16,oblique,randomized
99,000098.png,pilot_v2_scene_098,small_parts,small_parts,1,0,1,1,0,36,oblique,randomized
100,000099.png,pilot_v2_scene_099,dynamic_scene,dynamic_scene,1,1,0,1,1,16,front,randomized
101,000100.png,pilot_v2_scene_100,reflective_metal,reflective_metal,1,0,1,1,0,16,oblique,randomized
102,000101.png,pilot_v2_scene_101,transparent_glass,transparent_glass,1,1,1,1,0,20,front,randomized
103,000102.png,pilot_v2_scene_102,partial_occlusion,partial_occlusion,1,1,1,1,0,20,oblique,randomized
104,000103.png,pilot_v2_scene_103,small_parts,small_parts,1,0,0,1,0,30,oblique,randomized
