image_id,file_name,scene_id,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,num_objects,camera_view,lighting_condition
1,frame_000000,pilot_scene_000,reflective_metal,1,0,0,0,0,30,front,mixed_point_area
2,frame_000001,pilot_scene_000,reflective_metal,1,0,0,0,0,30,oblique_right,mixed_point_area
3,frame_000002,pilot_scene_000,reflective_metal,1,0,0,0,0,30,oblique_left,mixed_point_area
4,frame_000003,pilot_scene_000,reflective_metal,1,0,0,0,0,30,top,mixed_point_area
5,frame_000004,pilot_scene_001,transparent_glass,0,1,0,0,0,30,front,mixed_point_area
6,frame_000005,pilot_scene_001,transparent_glass,0,1,0,0,0,30,oblique_right,mixed_point_area
7,frame_000006,pilot_scene_001,transparent_glass,0,1,0,0,0,30,oblique_left,mixed_point_area
8,frame_000007,pilot_scene_001,transparent_glass,0,1,0,0,0,30,top,mixed_point_area
9,frame_000008,pilot_scene_002,partial_occlusion,0,0,1,0,0,30,front,mixed_point_area
10,frame_000009,pilot_scene_002,partial_occlusion,0,0,1,0,0,30,oblique_right,mixed_point_area
11,frame_000010,pilot_scene_002,partial_occlusion,0,0,1,0,0,30,oblique_left,mixed_point_area
12,frame_000011,pilot_scene_002,partial_occlusion,0,0,1,0,0,30,top,mixed_point_area
13,frame_000012,pilot_scene_003,small_parts,0,0,0,1,0,30,front,mixed_point_area
14,frame_000013,pilot_scene_003,small_parts,0,0,0,1,0,30,oblique_right,mixed_point_area
15,frame_000014,pilot_scene_003,small_parts,0,0,0,1,0,30,oblique_left,mixed_point_area
16,frame_000015,pilot_scene_003,small_parts,0,0,0,1,0,30,top,mixed_point_area
17,frame_000016,pilot_scene_004,dynamic_scene,0,0,0,0,1,30,front,mixed_point_area
18,frame_000017,pilot_scene_004,dynamic_scene,0,0,0,0,1,30,oblique_right,mixed_point_area
19,frame_000018,pilot_scene_004,dynamic_scene,0,0,0,0,1,30,oblique_left,mixed_point_area
20,frame_000019,pilot_scene_004,dynamic_scene,0,0,0,0,1,30,top,mixed_point_area
