image_id,file_name,scene_id,scene_family,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,num_objects,camera_view,lighting_condition
1,000000.png,pilot_v2_scene_000,low_clutter,mixed,1,1,0,0,0,5,oblique,randomized
2,000001.png,pilot_v2_scene_001,medium_clutter,mixed,1,1,0,1,0,13,oblique,randomized
3,000002.png,pilot_v2_scene_002,high_clutter,partial_occlusion,1,1,1,1,0,20,front,randomized
4,000003.png,pilot_v2_scene_003,transparent_reflective,transparent_glass,1,1,1,1,0,19,top,randomized
5,000004.png,pilot_v2_scene_004,small_parts,small_parts,1,0,0,1,0,32,top,randomized
6,000005.png,pilot_v2_scene_005,partial_occlusion,partial_occlusion,1,1,1,0,0,16,front,randomized
7,000006.png,pilot_v2_scene_006,dynamic_scene,dynamic_scene,1,1,1,1,1,22,top,randomized
8,000007.png,pilot_v2_scene_007,low_clutter,mixed,1,1,0,1,0,6,oblique,randomized
9,000008.png,pilot_v2_scene_008,medium_clutter,mixed,1,1,1,1,0,17,oblique,randomized
10,000009.png,pilot_v2_scene_009,high_clutter,partial_occlusion,1,1,1,1,0,24,oblique,randomized
11,000010.png,pilot_v2_scene_010,transparent_reflective,transparent_glass,1,1,1,0,0,17,oblique,randomized
12,000011.png,pilot_v2_scene_011,small_parts,small_parts,1,0,1,1,0,33,front,randomized
13,000012.png,pilot_v2_scene_012,partial_occlusion,partial_occlusion,1,0,1,1,0,15,oblique,randomized
14,000013.png,pilot_v2_scene_013,dynamic_scene,dynamic_scene,1,1,0,1,1,12,oblique,randomized
15,000014.png,pilot_v2_scene_014,low_clutter,mixed,1,0,0,1,0,5,oblique,randomized
16,000015.png,pilot_v2_scene_015,medium_clutter,mixed,0,1,0,1,0,12,oblique,randomized
17,000016.png,pilot_v2_scene_016,high_clutter,partial_occlusion,1,1,1,1,0,20,oblique,randomized
18,000017.png,pilot_v2_scene_017,transparent_reflective,transparent_glass,1,1,0,1,0,14,oblique,randomized
19,000018.png,pilot_v2_scene_018,small_parts,small_parts,1,0,0,1,0,23,oblique,randomized
20,000019.png,pilot_v2_scene_019,partial_occlusion,partial_occlusion,1,1,1,1,0,15,oblique,randomized
21,000020.png,pilot_v2_scene_020,dynamic_scene,dynamic_scene,1,0,0,1,1,16,top,randomized
22,000021.png,pilot_v2_scene_021,low_clutter,mixed,1,1,0,1,0,5,oblique,randomized
23,000022.png,pilot_v2_scene_022,medium_clutter,mixed,1,1,0,1,0,9,oblique,randomized
24,000023.png,pilot_v2_scene_023,high_clutter,partial_occlusion,1,1,1,1,0,19,top,randomized
25,000024.png,pilot_v2_scene_024,transparent_reflective,transparent_glass,1,1,0,1,0,12,oblique,randomized
26,000025.png,pilot_v2_scene_025,small_parts,small_parts,1,0,1,1,0,29,top,randomized
27,000026.png,pilot_v2_scene_026,partial_occlusion,partial_occlusion,1,1,1,1,0,13,top,randomized
28,000027.png,pilot_v2_scene_027,dynamic_scene,dynamic_scene,1,1,0,1,1,14,top,randomized
29,000028.png,pilot_v2_scene_028,low_clutter,mixed,0,0,0,1,0,6,oblique,randomized
30,000029.png,pilot_v2_scene_029,medium_clutter,mixed,1,0,1,1,0,18,oblique,randomized
31,000030.png,pilot_v2_scene_030,high_clutter,partial_occlusion,1,1,1,1,0,23,top,randomized
32,000031.png,pilot_v2_scene_031,transparent_reflective,transparent_glass,1,1,1,1,0,17,top,randomized
33,000032.png,pilot_v2_scene_032,small_parts,small_parts,1,0,0,1,0,29,oblique,randomized
34,000033.png,pilot_v2_scene_033,partial_occlusion,partial_occlusion,1,0,1,1,0,15,oblique,randomized
35,000034.png,pilot_v2_scene_034,dynamic_scene,dynamic_scene,1,1,1,1,1,23,front,randomized
36,000035.png,pilot_v2_scene_035,low_clutter,mixed,0,1,0,1,0,5,front,randomized
37,000036.png,pilot_v2_scene_036,medium_clutter,mixed,1,0,0,1,0,13,oblique,randomized
38,000037.png,pilot_v2_scene_037,high_clutter,partial_occlusion,1,1,1,1,0,21,front,randomized
39,000038.png,pilot_v2_scene_038,transparent_reflective,transparent_glass,1,1,0,1,0,14,front,randomized
40,000039.png,pilot_v2_scene_039,small_parts,small_parts,1,0,1,1,0,34,oblique,randomized
41,000040.png,pilot_v2_scene_040,partial_occlusion,partial_occlusion,1,1,1,1,0,20,top,randomized
42,000041.png,pilot_v2_scene_041,dynamic_scene,dynamic_scene,1,1,1,1,1,19,front,randomized
43,000042.png,pilot_v2_scene_042,low_clutter,mixed,1,0,0,1,0,8,oblique,randomized
44,000043.png,pilot_v2_scene_043,medium_clutter,mixed,1,1,1,1,0,15,oblique,randomized
45,000044.png,pilot_v2_scene_044,high_clutter,partial_occlusion,1,1,1,1,0,24,front,randomized
46,000045.png,pilot_v2_scene_045,transparent_reflective,transparent_glass,1,1,0,1,0,14,top,randomized
47,000046.png,pilot_v2_scene_046,small_parts,small_parts,0,0,0,1,0,28,oblique,randomized
48,000047.png,pilot_v2_scene_047,partial_occlusion,partial_occlusion,1,0,1,1,0,13,oblique,randomized
49,000048.png,pilot_v2_scene_048,dynamic_scene,dynamic_scene,1,0,0,0,1,12,top,randomized
50,000049.png,pilot_v2_scene_049,low_clutter,mixed,0,1,0,1,0,5,oblique,randomized
51,000050.png,pilot_v2_scene_050,medium_clutter,mixed,1,0,0,1,0,12,top,randomized
52,000051.png,pilot_v2_scene_051,high_clutter,partial_occlusion,1,1,1,1,0,28,top,randomized
53,000052.png,pilot_v2_scene_052,transparent_reflective,transparent_glass,1,1,0,1,0,14,oblique,randomized
54,000053.png,pilot_v2_scene_053,small_parts,small_parts,1,0,1,1,0,23,oblique,randomized
55,000054.png,pilot_v2_scene_054,partial_occlusion,partial_occlusion,1,1,1,1,0,21,oblique,randomized
56,000055.png,pilot_v2_scene_055,dynamic_scene,dynamic_scene,1,1,0,1,1,17,front,randomized
57,000056.png,pilot_v2_scene_056,low_clutter,mixed,1,1,0,1,0,6,front,randomized
58,000057.png,pilot_v2_scene_057,medium_clutter,mixed,1,1,1,1,0,17,front,randomized
59,000058.png,pilot_v2_scene_058,high_clutter,partial_occlusion,1,1,1,1,0,26,front,randomized
60,000059.png,pilot_v2_scene_059,transparent_reflective,transparent_glass,1,1,1,1,0,17,oblique,randomized
61,000060.png,pilot_v2_scene_060,small_parts,small_parts,0,0,1,1,0,22,top,randomized
62,000061.png,pilot_v2_scene_061,partial_occlusion,partial_occlusion,1,0,1,1,0,15,top,randomized
63,000062.png,pilot_v2_scene_062,dynamic_scene,dynamic_scene,1,0,0,1,1,18,oblique,randomized
64,000063.png,pilot_v2_scene_063,low_clutter,mixed,1,0,0,1,0,7,oblique,randomized
65,000064.png,pilot_v2_scene_064,medium_clutter,mixed,1,1,1,1,0,13,oblique,randomized
66,000065.png,pilot_v2_scene_065,high_clutter,partial_occlusion,1,0,1,1,0,28,oblique,randomized
67,000066.png,pilot_v2_scene_066,transparent_reflective,transparent_glass,1,1,1,1,0,19,front,randomized
68,000067.png,pilot_v2_scene_067,small_parts,small_parts,1,0,0,1,0,29,front,randomized
69,000068.png,pilot_v2_scene_068,partial_occlusion,partial_occlusion,1,1,1,1,0,18,top,randomized
70,000069.png,pilot_v2_scene_069,dynamic_scene,dynamic_scene,1,1,0,0,1,15,top,randomized
71,000070.png,pilot_v2_scene_070,low_clutter,mixed,1,0,0,1,0,8,top,randomized
72,000071.png,pilot_v2_scene_071,medium_clutter,mixed,1,1,1,1,0,17,top,randomized
73,000072.png,pilot_v2_scene_072,high_clutter,partial_occlusion,1,1,1,1,0,28,top,randomized
74,000073.png,pilot_v2_scene_073,transparent_reflective,transparent_glass,1,1,1,0,0,19,top,randomized
75,000074.png,pilot_v2_scene_074,small_parts,small_parts,1,0,1,1,0,33,front,randomized
76,000075.png,pilot_v2_scene_075,partial_occlusion,partial_occlusion,1,1,1,1,0,14,front,randomized
77,000076.png,pilot_v2_scene_076,dynamic_scene,dynamic_scene,1,1,1,1,1,20,front,randomized
78,000077.png,pilot_v2_scene_077,low_clutter,mixed,1,1,0,1,0,6,oblique,randomized
79,000078.png,pilot_v2_scene_078,medium_clutter,mixed,1,1,0,1,0,12,oblique,randomized
80,000079.png,pilot_v2_scene_079,high_clutter,partial_occlusion,1,1,1,1,0,19,oblique,randomized
81,000080.png,pilot_v2_scene_080,transparent_reflective,transparent_glass,1,1,1,0,0,13,oblique,randomized
82,000081.png,pilot_v2_scene_081,small_parts,small_parts,1,0,1,1,0,38,front,randomized
83,000082.png,pilot_v2_scene_082,partial_occlusion,partial_occlusion,1,1,1,1,0,21,oblique,randomized
84,000083.png,pilot_v2_scene_083,dynamic_scene,dynamic_scene,1,1,1,1,1,16,oblique,randomized
85,000084.png,pilot_v2_scene_084,low_clutter,mixed,1,1,0,1,0,5,front,randomized
86,000085.png,pilot_v2_scene_085,medium_clutter,mixed,1,1,1,1,0,15,oblique,randomized
87,000086.png,pilot_v2_scene_086,high_clutter,partial_occlusion,1,1,1,1,0,28,top,randomized
88,000087.png,pilot_v2_scene_087,transparent_reflective,transparent_glass,1,1,0,1,0,14,oblique,randomized
89,000088.png,pilot_v2_scene_088,small_parts,small_parts,1,0,0,1,0,27,oblique,randomized
90,000089.png,pilot_v2_scene_089,partial_occlusion,partial_occlusion,1,1,1,1,0,14,top,randomized
91,000090.png,pilot_v2_scene_090,dynamic_scene,dynamic_scene,1,1,1,1,1,18,front,randomized
92,000091.png,pilot_v2_scene_091,low_clutter,mixed,1,0,0,1,0,6,oblique,randomized
93,000092.png,pilot_v2_scene_092,medium_clutter,mixed,1,1,0,1,0,14,oblique,randomized
94,000093.png,pilot_v2_scene_093,high_clutter,partial_occlusion,1,1,1,1,0,22,front,randomized
95,000094.png,pilot_v2_scene_094,transparent_reflective,transparent_glass,1,1,1,1,0,21,oblique,randomized
96,000095.png,pilot_v2_scene_095,small_parts,small_parts,1,0,1,1,0,34,oblique,randomized
97,000096.png,pilot_v2_scene_096,partial_occlusion,partial_occlusion,1,1,1,1,0,13,top,randomized
98,000097.png,pilot_v2_scene_097,dynamic_scene,dynamic_scene,1,0,1,1,1,18,top,randomized
99,000098.png,pilot_v2_scene_098,low_clutter,mixed,1,1,0,1,0,8,top,randomized
100,000099.png,pilot_v2_scene_099,medium_clutter,mixed,1,1,1,1,0,15,oblique,randomized
