row_index,file_name,object_id,image_path,gt_mask_path,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sam_mask_path,sam_visualization_path,sam_score,iou,device,model_type,category_name,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,area,bbox_w,bbox_h,bbox_area,visible_ratio
0,000000.png,3,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000003_img_000000_cat_box.png,238.0,92.0,413.0,280.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0000_object_3_sam_mask.png,,0.9931624531745912,0.9841485744179964,cuda,vit_b,box,reflective_metal,1,0,0,1,0,19033.0,175.0,188.0,32900.0,0.5785106382978723
1,000000.png,4,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000004_img_000000_cat_plastic_object.png,59.0,215.0,138.0,289.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0001_object_4_sam_mask.png,,0.9892022609710692,0.9823085221143474,cuda,vit_b,plastic_object,reflective_metal,1,0,0,1,0,4634.0,79.0,74.0,5846.0,0.7926787547040711
2,000000.png,5,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000005_img_000000_cat_plastic_object.png,302.0,393.0,397.0,466.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0002_object_5_sam_mask.png,,0.9816735982894896,0.9792134831460674,cuda,vit_b,plastic_object,reflective_metal,1,0,0,1,0,5340.0,95.0,73.0,6935.0,0.7700072098053352
3,000000.png,6,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000006_img_000000_cat_metal_part.png,374.0,123.0,415.0,148.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0003_object_6_sam_mask.png,,0.9685908555984496,0.9300998573466476,cuda,vit_b,metal_part,reflective_metal,1,0,0,1,0,700.0,41.0,25.0,1025.0,0.6829268292682927
4,000000.png,7,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000007_img_000000_cat_box.png,56.0,265.0,276.0,480.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0004_object_7_sam_mask.png,,1.00574791431427,0.9833686330335752,cuda,vit_b,box,reflective_metal,1,0,0,1,0,28796.0,220.0,215.0,47300.0,0.6087949260042284
5,000000.png,8,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000008_img_000000_cat_tool.png,0.0,306.0,130.0,345.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0005_object_8_sam_mask.png,,0.9749578237533568,0.9676565715965892,cuda,vit_b,tool,reflective_metal,1,0,0,1,0,3382.0,130.0,39.0,5070.0,0.6670611439842209
6,000000.png,9,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000009_img_000000_cat_metal_part.png,382.0,33.0,400.0,70.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0006_object_9_sam_mask.png,,0.9470438361167908,0.91,cuda,vit_b,metal_part,reflective_metal,1,0,0,1,0,186.0,18.0,37.0,666.0,0.27927927927927926
7,000000.png,10,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000010_img_000000_cat_metal_part.png,400.0,142.0,464.0,261.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0007_object_10_sam_mask.png,,0.974370002746582,0.953428964433091,cuda,vit_b,metal_part,reflective_metal,1,0,0,1,0,5068.0,64.0,119.0,7616.0,0.6654411764705882
8,000000.png,11,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000011_img_000000_cat_connector.png,151.0,124.0,201.0,185.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0008_object_11_sam_mask.png,,0.9693078994750975,0.9380245319561008,cuda,vit_b,connector,reflective_metal,1,0,0,1,0,1479.0,50.0,61.0,3050.0,0.4849180327868852
9,000000.png,12,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000012_img_000000_cat_box.png,368.0,0.0,508.0,153.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0009_object_12_sam_mask.png,,0.9947708249092102,0.9927461956950248,cuda,vit_b,box,reflective_metal,1,0,0,1,0,12669.0,140.0,153.0,21420.0,0.5914565826330532
