row_index,object_id,image_path,gt_mask_path,file_name,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,box_sam_score,box_iou,box_mask_path,box_visualization_path,box_device,box_model_type,point_x,point_y,point_sam_score,point_iou,point_mask_path,point_visualization_path,point_device,point_model_type,iou_delta_point_minus_box,abs_iou_delta,sam_score_delta_point_minus_box,winner
0,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-32.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00000_result_2018-08-24-13-13-32_obj3.png,result_2018-08-24-13-13-32.png,377.0,229.0,449.0,300.0,0.9687163829803468,0.8818048062775871,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0000_object_3_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0000_object_3_sam_visualization.png,cuda,vit_b,413.0,262.0,0.7475641965866089,0.7031480570585342,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0000_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0000_object_3_sam_point_visualization.png,cuda,vit_b,-0.17865674921905284,0.17865674921905284,-0.2211521863937379,box
1,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00001_result_2018-08-24-13-13-53_obj3.png,result_2018-08-24-13-13-53.png,377.0,229.0,449.0,300.0,0.9745699167251588,0.8873377418564781,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0001_object_3_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0001_object_3_sam_visualization.png,cuda,vit_b,413.0,263.0,0.8098419308662415,0.8850405305821666,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0001_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0001_object_3_sam_point_visualization.png,cuda,vit_b,-0.0022972112743114836,0.0022972112743114836,-0.16472798585891735,box
2,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00002_result_2018-08-24-13-13-53_obj4.png,result_2018-08-24-13-13-53.png,374.0,292.0,453.0,390.0,0.9587258100509644,0.8486125746399719,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0002_object_4_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0002_object_4_sam_visualization.png,cuda,vit_b,412.0,343.0,0.9180353879928588,0.846875,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0002_object_4_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0002_object_4_sam_point_visualization.png,cuda,vit_b,-0.0017375746399718173,0.0017375746399718173,-0.04069042205810558,box
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00003_result_2018-08-24-13-14-16_obj3.png,result_2018-08-24-13-14-16.png,377.0,229.0,449.0,300.0,0.9674740433692932,0.8918387413962635,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0003_object_3_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0003_object_3_sam_visualization.png,cuda,vit_b,413.0,263.0,0.7763516902923584,0.8848335388409371,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0003_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0003_object_3_sam_point_visualization.png,cuda,vit_b,-0.00700520255532644,0.00700520255532644,-0.19112235307693481,box
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00004_result_2018-08-24-13-14-16_obj4.png,result_2018-08-24-13-14-16.png,375.0,293.0,452.0,392.0,0.964399755001068,0.8428770949720671,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0004_object_4_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0004_object_4_sam_visualization.png,cuda,vit_b,412.0,344.0,0.8933566808700562,0.8372252747252747,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0004_object_4_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0004_object_4_sam_point_visualization.png,cuda,vit_b,-0.005651820246792338,0.005651820246792338,-0.07104307413101185,box
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00005_result_2018-08-24-13-14-16_obj5.png,result_2018-08-24-13-14-16.png,317.0,255.0,378.0,331.0,0.9841170907020568,0.903819347644271,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0005_object_5_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0005_object_5_sam_visualization.png,cuda,vit_b,345.0,291.0,0.8323845267295837,0.8804532577903683,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0005_object_5_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0005_object_5_sam_point_visualization.png,cuda,vit_b,-0.02336608985390265,0.02336608985390265,-0.15173256397247303,box
6,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00006_result_2018-08-24-13-14-40_obj3.png,result_2018-08-24-13-14-40.png,377.0,229.0,449.0,299.0,0.96452534198761,0.887278978388998,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0006_object_3_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0006_object_3_sam_visualization.png,cuda,vit_b,413.0,262.0,0.71304851770401,0.8464955577492597,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0006_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0006_object_3_sam_point_visualization.png,cuda,vit_b,-0.04078342063973839,0.04078342063973839,-0.25147682428359996,box
7,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00007_result_2018-08-24-13-14-40_obj4.png,result_2018-08-24-13-14-40.png,375.0,293.0,453.0,390.0,0.9587675333023072,0.8264462809917356,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0007_object_4_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0007_object_4_sam_visualization.png,cuda,vit_b,412.0,343.0,0.886701226234436,0.8297202797202797,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0007_object_4_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0007_object_4_sam_point_visualization.png,cuda,vit_b,0.0032739987285441696,0.0032739987285441696,-0.0720663070678712,point
8,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00008_result_2018-08-24-13-14-40_obj5.png,result_2018-08-24-13-14-40.png,317.0,255.0,377.0,331.0,0.978306233882904,0.9002535925612849,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0008_object_5_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0008_object_5_sam_visualization.png,cuda,vit_b,345.0,291.0,0.8371028304100037,0.7922453703703703,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0008_object_5_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0008_object_5_sam_point_visualization.png,cuda,vit_b,-0.10800822219091455,0.10800822219091455,-0.1412034034729004,box
9,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00009_result_2018-08-24-13-14-40_obj6.png,result_2018-08-24-13-14-40.png,316.0,324.0,399.0,405.0,0.972713828086853,0.8792719919110212,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/masks/row_0009_object_6_sam_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_box_prompt/visualizations/row_0009_object_6_sam_visualization.png,cuda,vit_b,356.0,364.0,0.6109749674797058,0.6461065573770491,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0009_object_6_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0009_object_6_sam_point_visualization.png,cuda,vit_b,-0.2331654345339721,0.2331654345339721,-0.3617388606071472,box
