row_index,object_id,iou,sam_score,image_path,gt_mask_path,mask_output_path,visualization_output_path
42,9,0.8868421052631579,0.9507759213447572,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-17-53.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00042_result_2018-08-24-13-17-53_obj9.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0042_object_9_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0042_object_9_sam_point_visualization.png
50,9,0.8853754940711462,0.9506333470344543,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-18-17.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00050_result_2018-08-24-13-18-17_obj9.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0050_object_9_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0050_object_9_sam_point_visualization.png
1,3,0.8850405305821666,0.8098419308662415,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00001_result_2018-08-24-13-13-53_obj3.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0001_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0001_object_3_sam_point_visualization.png
3,3,0.8848335388409371,0.7763516902923584,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00003_result_2018-08-24-13-14-16_obj3.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0003_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0003_object_3_sam_point_visualization.png
44,3,0.8826429980276134,0.7349610924720764,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-18-17.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00044_result_2018-08-24-13-18-17_obj3.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0044_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0044_object_3_sam_point_visualization.png
36,3,0.8825990647304947,0.7562658786773682,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-17-53.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00036_result_2018-08-24-13-17-53_obj3.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0036_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0036_object_3_sam_point_visualization.png
27,9,0.8805774278215223,0.944663405418396,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-16-33.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00027_result_2018-08-24-13-16-33_obj9.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0027_object_9_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0027_object_9_sam_point_visualization.png
5,5,0.8804532577903683,0.8323845267295837,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00005_result_2018-08-24-13-14-16_obj5.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0005_object_5_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0005_object_5_sam_point_visualization.png
21,3,0.8799605619916194,0.7363666296005249,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-16-33.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00021_result_2018-08-24-13-16-33_obj3.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0021_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0021_object_3_sam_point_visualization.png
28,3,0.8784816366773478,0.7673799395561218,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-16-51.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00028_result_2018-08-24-13-16-51_obj3.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0028_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0028_object_3_sam_point_visualization.png
