row_index,file_name,object_id,image_path,gt_mask_path,point_x,point_y,sam_score,iou,mask_output_path,visualization_output_path,device,model_type,category_name,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,area,bbox_w,bbox_h
0,000000.png,3,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000003_img_000000_cat_box.png,328.0,184.0,0.9827429056167604,0.983287199039014,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0000_object_3_sam_point_mask.png,,cuda,vit_b,box,reflective_metal,1,0,0,1,0,19033.0,175.0,188.0
1,000000.png,4,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000004_img_000000_cat_plastic_object.png,97.0,253.0,0.830589771270752,0.686232196806215,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0001_object_4_sam_point_mask.png,,cuda,vit_b,plastic_object,reflective_metal,1,0,0,1,0,4634.0,79.0,74.0
2,000000.png,5,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000005_img_000000_cat_plastic_object.png,349.0,429.0,0.7176432609558105,0.948876404494382,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0002_object_5_sam_point_mask.png,,cuda,vit_b,plastic_object,reflective_metal,1,0,0,1,0,5340.0,95.0,73.0
3,000000.png,6,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000006_img_000000_cat_metal_part.png,394.0,135.0,0.9519051313400269,0.9329529243937232,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0003_object_6_sam_point_mask.png,,cuda,vit_b,metal_part,reflective_metal,1,0,0,1,0,700.0,41.0,25.0
4,000000.png,7,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000007_img_000000_cat_box.png,167.0,384.0,0.986977517604828,0.9827089337175792,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0004_object_7_sam_point_mask.png,,cuda,vit_b,box,reflective_metal,1,0,0,1,0,28796.0,220.0,215.0
5,000000.png,8,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000008_img_000000_cat_tool.png,61.0,325.0,0.9464048147201538,0.9657894736842104,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0005_object_8_sam_point_mask.png,,cuda,vit_b,tool,reflective_metal,1,0,0,1,0,3382.0,130.0,39.0
6,000000.png,9,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000009_img_000000_cat_metal_part.png,389.0,51.0,0.9053915143013,0.905,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0006_object_9_sam_point_mask.png,,cuda,vit_b,metal_part,reflective_metal,1,0,0,1,0,186.0,18.0,37.0
7,000000.png,10,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000010_img_000000_cat_metal_part.png,431.0,201.0,0.8761606216430664,0.9332312990242968,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0007_object_10_sam_point_mask.png,,cuda,vit_b,metal_part,reflective_metal,1,0,0,1,0,5068.0,64.0,119.0
8,000000.png,11,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000011_img_000000_cat_connector.png,175.0,154.0,0.9581402540206908,0.9298469387755102,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0008_object_11_sam_point_mask.png,,cuda,vit_b,connector,reflective_metal,1,0,0,1,0,1479.0,50.0,61.0
9,000000.png,12,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000012_img_000000_cat_box.png,435.0,67.0,0.9711648225784302,0.9861275321194924,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_point_clean/masks/row_0009_object_12_sam_point_mask.png,,cuda,vit_b,box,reflective_metal,1,0,0,1,0,12669.0,140.0,153.0
