row_index,file_name,object_id,image_path,gt_mask_path,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sam_mask_path,sam_visualization_path,sam_score,iou,device,model_type,category_name,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,area,bbox_w,bbox_h
6091,000388.png,6742,data/cogar_sim_500/rgb/000388.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00006742_img_000388_cat_screw.png,320.0,392.0,336.0,420.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_6091_object_6742_sam_mask.png,,0.7551041841506958,0.0,cuda,vit_b,screw,small_parts,1,0,0,1,0,35.0,16.0,28.0
561,000036.png,624,data/cogar_sim_500/rgb/000036.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000624_img_000036_cat_plastic_object.png,480.0,189.0,481.0,190.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0561_object_624_sam_mask.png,,0.5588347911834717,0.0,cuda,vit_b,plastic_object,transparent_glass,1,1,0,1,0,1.0,1.0,1.0
705,000044.png,781,data/cogar_sim_500/rgb/000044.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000781_img_000044_cat_screw.png,352.0,199.0,353.0,200.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0705_object_781_sam_mask.png,,0.552003026008606,0.0,cuda,vit_b,screw,dynamic_scene,1,1,1,1,1,1.0,1.0,1.0
3577,000222.png,3941,data/cogar_sim_500/rgb/000222.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00003941_img_000222_cat_glass_object.png,329.0,113.0,430.0,237.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_3577_object_3941_sam_mask.png,,0.7313123941421509,0.0,cuda,vit_b,glass_object,partial_occlusion,1,1,1,1,0,608.0,101.0,124.0
6916,000443.png,7662,data/cogar_sim_500/rgb/000443.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00007662_img_000443_cat_screw.png,225.0,26.0,248.0,43.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_6916_object_7662_sam_mask.png,,0.7733414173126221,0.0,cuda,vit_b,screw,small_parts,1,0,0,1,0,3.0,23.0,17.0
3552,000220.png,3913,data/cogar_sim_500/rgb/000220.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00003913_img_000220_cat_tool.png,179.0,145.0,261.0,314.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_3552_object_3913_sam_mask.png,,0.7710451483726501,0.0,cuda,vit_b,tool,reflective_metal,1,0,1,1,0,547.0,82.0,169.0
4790,000306.png,5299,data/cogar_sim_500/rgb/000306.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00005299_img_000306_cat_glass_object.png,372.0,110.0,450.0,221.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_4790_object_5299_sam_mask.png,,0.968679130077362,0.0,cuda,vit_b,glass_object,transparent_glass,0,1,1,1,0,1630.0,78.0,111.0
808,000050.png,893,data/cogar_sim_500/rgb/000050.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00000893_img_000050_cat_connector.png,315.0,400.0,316.0,401.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_0808_object_893_sam_mask.png,,0.5507344007492065,0.0,cuda,vit_b,connector,reflective_metal,1,0,0,1,0,1.0,1.0,1.0
1944,000124.png,2150,data/cogar_sim_500/rgb/000124.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00002150_img_000124_cat_robot_gripper.png,128.0,224.0,158.0,225.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_1944_object_2150_sam_mask.png,,0.6106582283973694,0.0,cuda,vit_b,robot_gripper,dynamic_scene,1,1,1,1,1,30.0,30.0,1.0
3121,000198.png,3447,data/cogar_sim_500/rgb/000198.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/gt_binary_masks/ann_00003447_img_000198_cat_cable.png,229.0,41.0,410.0,241.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/cogar_sim_500/sam_box_no_table/masks/row_3121_object_3447_sam_mask.png,,0.9447571039199828,9.538344143456696e-05,cuda,vit_b,cable,small_parts,1,0,1,1,0,673.0,181.0,200.0
