run,rank,iou,category_name,challenge_primary,file_name,object_id,figure_path
sam_vit_b_box,1,0.0,cable,partial_occlusion,000362.png,3172,outputs/figures/failure_modes/sam_vit_b_box/worst_01_iou_0.000_cable_partial_occlusion.png
sam_vit_b_box,2,0.0014915478952601,box,dynamic_scene,000114.png,943,outputs/figures/failure_modes/sam_vit_b_box/worst_02_iou_0.001_box_dynamic_scene.png
sam_vit_b_box,3,0.0035008469791078,tool,dynamic_scene,000564.png,4932,outputs/figures/failure_modes/sam_vit_b_box/worst_03_iou_0.004_tool_dynamic_scene.png
sam_vit_b_box,4,0.0070814365199797,robot_gripper,dynamic_scene,000259.png,2247,outputs/figures/failure_modes/sam_vit_b_box/worst_04_iou_0.007_robot_gripper_dynamic_scene.png
sam_vit_b_box,5,0.0125272331154684,robot_gripper,dynamic_scene,000344.png,3001,outputs/figures/failure_modes/sam_vit_b_box/worst_05_iou_0.013_robot_gripper_dynamic_scene.png
sam_vit_b_box,6,0.0131914893617021,robot_gripper,transparent_glass,000131.png,1075,outputs/figures/failure_modes/sam_vit_b_box/worst_06_iou_0.013_robot_gripper_transparent_glass.png
sam_vit_b_box,7,0.0271889400921658,robot_gripper,transparent_glass,000351.png,3068,outputs/figures/failure_modes/sam_vit_b_box/worst_07_iou_0.027_robot_gripper_transparent_glass.png
sam_vit_b_box,8,0.0330602271093862,box,partial_occlusion,000022.png,202,outputs/figures/failure_modes/sam_vit_b_box/worst_08_iou_0.033_box_partial_occlusion.png
sam_vit_b_box,9,0.0416666666666666,robot_gripper,transparent_glass,000016.png,171,outputs/figures/failure_modes/sam_vit_b_box/worst_09_iou_0.042_robot_gripper_transparent_glass.png
sam_vit_b_box,10,0.0447647951441578,cable,dynamic_scene,000339.png,2934,outputs/figures/failure_modes/sam_vit_b_box/worst_10_iou_0.045_cable_dynamic_scene.png
sam_vit_b_box,11,0.0491542044618779,tool,partial_occlusion,000217.png,1821,outputs/figures/failure_modes/sam_vit_b_box/worst_11_iou_0.049_tool_partial_occlusion.png
sam_vit_b_box,12,0.0620689655172413,box,reflective_metal,000595.png,5199,outputs/figures/failure_modes/sam_vit_b_box/worst_12_iou_0.062_box_reflective_metal.png
mobilesam_box,1,0.0,robot_gripper,transparent_glass,000016.png,171,outputs/figures/failure_modes/mobilesam_box/worst_01_iou_0.000_robot_gripper_transparent_glass.png
mobilesam_box,2,0.0,cable,partial_occlusion,000362.png,3172,outputs/figures/failure_modes/mobilesam_box/worst_02_iou_0.000_cable_partial_occlusion.png
mobilesam_box,3,0.0013586956521739,robot_gripper,dynamic_scene,000259.png,2247,outputs/figures/failure_modes/mobilesam_box/worst_03_iou_0.001_robot_gripper_dynamic_scene.png
mobilesam_box,4,0.015267175572519,robot_gripper,dynamic_scene,000344.png,3001,outputs/figures/failure_modes/mobilesam_box/worst_04_iou_0.015_robot_gripper_dynamic_scene.png
mobilesam_box,5,0.018646408839779,cable,small_parts,000553.png,4823,outputs/figures/failure_modes/mobilesam_box/worst_05_iou_0.019_cable_small_parts.png
mobilesam_box,6,0.0221021611001964,robot_gripper,partial_occlusion,000302.png,2555,outputs/figures/failure_modes/mobilesam_box/worst_06_iou_0.022_robot_gripper_partial_occlusion.png
mobilesam_box,7,0.0256024096385542,robot_gripper,partial_occlusion,000262.png,2281,outputs/figures/failure_modes/mobilesam_box/worst_07_iou_0.026_robot_gripper_partial_occlusion.png
mobilesam_box,8,0.0321100917431192,robot_gripper,transparent_glass,000351.png,3068,outputs/figures/failure_modes/mobilesam_box/worst_08_iou_0.032_robot_gripper_transparent_glass.png
mobilesam_box,9,0.0366300366300366,robot_gripper,transparent_glass,000576.png,5021,outputs/figures/failure_modes/mobilesam_box/worst_09_iou_0.037_robot_gripper_transparent_glass.png
mobilesam_box,10,0.0444954128440367,connector,dynamic_scene,000189.png,1576,outputs/figures/failure_modes/mobilesam_box/worst_10_iou_0.044_connector_dynamic_scene.png
mobilesam_box,11,0.0473886438024761,box,partial_occlusion,000022.png,202,outputs/figures/failure_modes/mobilesam_box/worst_11_iou_0.047_box_partial_occlusion.png
mobilesam_box,12,0.049380398047315,robot_gripper,reflective_metal,000375.png,3279,outputs/figures/failure_modes/mobilesam_box/worst_12_iou_0.049_robot_gripper_reflective_metal.png
fastsam_s_box,1,0.0,tool,small_parts,000003.png,38,outputs/figures/failure_modes/fastsam_s_box/worst_01_iou_0.000_tool_small_parts.png
fastsam_s_box,2,0.0,metal_part,small_parts,000203.png,1695,outputs/figures/failure_modes/fastsam_s_box/worst_02_iou_0.000_metal_part_small_parts.png
fastsam_s_box,3,0.0,tool,small_parts,000603.png,5281,outputs/figures/failure_modes/fastsam_s_box/worst_03_iou_0.000_tool_small_parts.png
fastsam_s_box,4,0.0,robot_gripper,reflective_metal,000380.png,3325,outputs/figures/failure_modes/fastsam_s_box/worst_04_iou_0.000_robot_gripper_reflective_metal.png
