image_id,file_name,image_path,annotation_id,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,area,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,1,1,table,0.0,127.0,640.0,353.0,173749.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,2,1,table,0.0,0.0,640.0,171.0,92824.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,3,3,metal_part,512.0,201.0,44.0,85.0,2584.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,4,9,tool,534.0,229.0,51.0,145.0,4446.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,5,10,box,395.0,149.0,155.0,120.0,15468.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,6,3,metal_part,222.0,122.0,76.0,73.0,4949.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,7,3,metal_part,161.0,218.0,78.0,121.0,7685.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,8,6,screw,217.0,227.0,15.0,22.0,200.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_final/rgb/000000.png,9,3,metal_part,306.0,269.0,72.0,117.0,5295.0,reflective_metal,1,0,0,1,0
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,10,1,table,0.0,0.0,640.0,480.0,257166.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,11,7,connector,461.0,112.0,90.0,47.0,3482.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,12,4,glass_object,378.0,68.0,90.0,148.0,6778.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,13,4,glass_object,236.0,176.0,85.0,163.0,12045.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,14,8,cable,325.0,283.0,70.0,197.0,4059.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,15,2,robot_gripper,318.0,13.0,137.0,169.0,13881.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,16,2,robot_gripper,322.0,57.0,62.0,209.0,6148.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_final/rgb/000001.png,17,2,robot_gripper,351.0,33.0,48.0,165.0,851.0,transparent_glass,0,1,1,1,0
3,000002.png,data/cogar_sim_500_final/rgb/000002.png,18,1,table,0.0,166.0,640.0,314.0,157478.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_final/rgb/000002.png,19,1,table,0.0,0.0,640.0,168.0,85538.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_final/rgb/000002.png,20,4,glass_object,361.0,135.0,81.0,112.0,6652.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_final/rgb/000002.png,21,10,box,98.0,167.0,119.0,110.0,11235.0,partial_occlusion,1,1,1,1,0
