image_id,file_name,image_path,annotation_id,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,area,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic
1,000000.png,data/cogar_sim_500_v2/rgb/000000.png,1,1,table,0.0,127.0,640.0,353.0,173749.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_v2/rgb/000000.png,2,1,table,0.0,0.0,640.0,171.0,92824.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_v2/rgb/000000.png,3,3,metal_part,512.0,201.0,44.0,85.0,2584.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_v2/rgb/000000.png,4,9,tool,534.0,229.0,51.0,145.0,4446.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_v2/rgb/000000.png,5,10,box,395.0,149.0,155.0,120.0,15468.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_v2/rgb/000000.png,6,3,metal_part,222.0,122.0,76.0,73.0,4949.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_v2/rgb/000000.png,7,3,metal_part,161.0,218.0,78.0,121.0,7685.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_v2/rgb/000000.png,8,6,screw,217.0,227.0,15.0,22.0,200.0,reflective_metal,1,0,0,1,0
1,000000.png,data/cogar_sim_500_v2/rgb/000000.png,9,3,metal_part,306.0,269.0,72.0,117.0,5295.0,reflective_metal,1,0,0,1,0
2,000001.png,data/cogar_sim_500_v2/rgb/000001.png,10,1,table,0.0,0.0,640.0,480.0,257166.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_v2/rgb/000001.png,11,7,connector,461.0,112.0,90.0,47.0,3482.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_v2/rgb/000001.png,12,4,glass_object,378.0,68.0,90.0,148.0,6778.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_v2/rgb/000001.png,13,4,glass_object,236.0,176.0,85.0,163.0,12045.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_v2/rgb/000001.png,14,8,cable,325.0,283.0,70.0,197.0,4059.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_v2/rgb/000001.png,15,2,robot_gripper,318.0,13.0,137.0,169.0,13881.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_v2/rgb/000001.png,16,2,robot_gripper,322.0,57.0,62.0,209.0,6148.0,transparent_glass,0,1,1,1,0
2,000001.png,data/cogar_sim_500_v2/rgb/000001.png,17,2,robot_gripper,351.0,33.0,48.0,165.0,851.0,transparent_glass,0,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,18,1,table,0.0,166.0,640.0,314.0,157478.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,19,1,table,0.0,0.0,640.0,168.0,85538.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,20,4,glass_object,361.0,135.0,81.0,112.0,6652.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,21,10,box,98.0,167.0,119.0,110.0,11235.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,22,6,screw,221.0,327.0,22.0,22.0,427.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,23,3,metal_part,350.0,263.0,96.0,117.0,8822.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,24,10,box,452.0,126.0,127.0,150.0,13842.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,25,3,metal_part,219.0,196.0,81.0,66.0,4052.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,26,2,robot_gripper,217.0,74.0,225.0,68.0,14638.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,27,2,robot_gripper,269.0,53.0,32.0,173.0,3121.0,partial_occlusion,1,1,1,1,0
3,000002.png,data/cogar_sim_500_v2/rgb/000002.png,28,2,robot_gripper,356.0,141.0,31.0,56.0,1395.0,partial_occlusion,1,1,1,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,29,1,table,0.0,0.0,640.0,480.0,255006.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,30,1,table,0.0,370.0,253.0,110.0,13819.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,31,10,box,9.0,227.0,188.0,190.0,20222.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,32,8,cable,136.0,0.0,92.0,141.0,2680.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,33,3,metal_part,243.0,105.0,38.0,84.0,2454.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,34,6,screw,172.0,235.0,13.0,18.0,194.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,35,7,connector,231.0,257.0,68.0,33.0,2121.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,36,6,screw,345.0,138.0,25.0,18.0,405.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,37,5,plastic_object,179.0,83.0,64.0,72.0,3441.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,38,9,tool,127.0,228.0,70.0,205.0,2054.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,39,3,metal_part,445.0,448.0,61.0,32.0,1412.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,40,5,plastic_object,529.0,280.0,61.0,58.0,2735.0,small_parts,1,0,0,1,0
4,000003.png,data/cogar_sim_500_v2/rgb/000003.png,41,5,plastic_object,84.0,223.0,88.0,66.0,657.0,small_parts,1,0,0,1,0
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,42,1,table,0.0,55.0,640.0,425.0,128440.0,dynamic_scene,0,1,1,0,1
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,43,1,table,361.0,0.0,279.0,312.0,33939.0,dynamic_scene,0,1,1,0,1
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,44,4,glass_object,441.0,139.0,199.0,292.0,45670.0,dynamic_scene,0,1,1,0,1
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,45,5,plastic_object,163.0,244.0,106.0,99.0,9050.0,dynamic_scene,0,1,1,0,1
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,46,5,plastic_object,573.0,350.0,67.0,130.0,7212.0,dynamic_scene,0,1,1,0,1
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,47,5,plastic_object,168.0,153.0,74.0,97.0,4925.0,dynamic_scene,0,1,1,0,1
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,48,10,box,59.0,130.0,132.0,186.0,18687.0,dynamic_scene,0,1,1,0,1
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,49,2,robot_gripper,231.0,58.0,279.0,164.0,26666.0,dynamic_scene,0,1,1,0,1
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,50,2,robot_gripper,336.0,177.0,34.0,68.0,1939.0,dynamic_scene,0,1,1,0,1
5,000004.png,data/cogar_sim_500_v2/rgb/000004.png,51,2,robot_gripper,368.0,189.0,71.0,121.0,6762.0,dynamic_scene,0,1,1,0,1
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,52,1,table,0.0,19.0,640.0,461.0,192849.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,53,1,table,121.0,0.0,519.0,233.0,55576.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,54,10,box,275.0,264.0,185.0,182.0,23682.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,55,3,metal_part,246.0,83.0,39.0,59.0,1836.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,56,6,screw,259.0,269.0,17.0,23.0,348.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,57,5,plastic_object,166.0,216.0,63.0,102.0,5629.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,58,9,tool,271.0,171.0,156.0,43.0,3254.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,59,9,tool,70.0,174.0,147.0,96.0,4576.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,60,2,robot_gripper,337.0,50.0,152.0,128.0,11054.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,61,2,robot_gripper,363.0,123.0,43.0,66.0,2003.0,reflective_metal,1,0,1,1,0
6,000005.png,data/cogar_sim_500_v2/rgb/000005.png,62,2,robot_gripper,424.0,94.0,55.0,126.0,2024.0,reflective_metal,1,0,1,1,0
7,000006.png,data/cogar_sim_500_v2/rgb/000006.png,63,1,table,0.0,67.0,640.0,413.0,164367.0,transparent_glass,1,1,1,0,0
7,000006.png,data/cogar_sim_500_v2/rgb/000006.png,64,1,table,0.0,0.0,640.0,237.0,89876.0,transparent_glass,1,1,1,0,0
