image_id,file_name,image_path,annotation_id,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,area,primary_challenge,reflective,transparent,occlusion,small_parts,dynamic,gt_mask_path
1,000000.png,data/cogar_sim_500/rgb/000000.png,1,1,table,0.0,0.0,640.0,480.0,192476.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000001_img_000000_cat_table.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,2,1,table,503.0,273.0,137.0,207.0,14329.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000002_img_000000_cat_table.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,3,10,box,238.0,92.0,175.0,188.0,19033.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000003_img_000000_cat_box.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,4,5,plastic_object,59.0,215.0,79.0,74.0,4634.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000004_img_000000_cat_plastic_object.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,5,5,plastic_object,302.0,393.0,95.0,73.0,5340.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000005_img_000000_cat_plastic_object.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,6,3,metal_part,374.0,123.0,41.0,25.0,700.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000006_img_000000_cat_metal_part.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,7,10,box,56.0,265.0,220.0,215.0,28796.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000007_img_000000_cat_box.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,8,9,tool,0.0,306.0,130.0,39.0,3382.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000008_img_000000_cat_tool.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,9,3,metal_part,382.0,33.0,18.0,37.0,186.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000009_img_000000_cat_metal_part.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,10,3,metal_part,400.0,142.0,64.0,119.0,5068.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000010_img_000000_cat_metal_part.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,11,7,connector,151.0,124.0,50.0,61.0,1479.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000011_img_000000_cat_connector.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,12,10,box,368.0,0.0,140.0,153.0,12669.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000012_img_000000_cat_box.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,13,5,plastic_object,131.0,157.0,149.0,132.0,11124.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000013_img_000000_cat_plastic_object.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,14,10,box,342.0,158.0,134.0,175.0,7402.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000014_img_000000_cat_box.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,15,8,cable,442.0,128.0,15.0,26.0,65.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000015_img_000000_cat_cable.png
1,000000.png,data/cogar_sim_500/rgb/000000.png,16,3,metal_part,386.0,147.0,26.0,45.0,517.0,reflective_metal,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000016_img_000000_cat_metal_part.png
2,000001.png,data/cogar_sim_500/rgb/000001.png,17,1,table,0.0,431.0,55.0,49.0,1369.0,transparent_glass,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000017_img_000001_cat_table.png
2,000001.png,data/cogar_sim_500/rgb/000001.png,18,1,table,0.0,0.0,640.0,480.0,305831.0,transparent_glass,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000018_img_000001_cat_table.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,19,1,table,0.0,0.0,640.0,480.0,189120.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000019_img_000002_cat_table.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,20,1,table,0.0,0.0,186.0,479.0,44584.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000020_img_000002_cat_table.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,21,5,plastic_object,344.0,0.0,35.0,68.0,1368.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000021_img_000002_cat_plastic_object.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,22,5,plastic_object,401.0,303.0,50.0,77.0,2919.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000022_img_000002_cat_plastic_object.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,23,3,metal_part,301.0,453.0,59.0,27.0,822.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000023_img_000002_cat_metal_part.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,24,5,plastic_object,173.0,192.0,112.0,89.0,5065.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000024_img_000002_cat_plastic_object.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,25,9,tool,202.0,152.0,164.0,127.0,3154.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000025_img_000002_cat_tool.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,26,8,cable,166.0,216.0,195.0,85.0,1576.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000026_img_000002_cat_cable.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,27,3,metal_part,330.0,405.0,69.0,75.0,3265.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000027_img_000002_cat_metal_part.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,28,10,box,207.0,61.0,107.0,124.0,7418.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000028_img_000002_cat_box.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,29,7,connector,228.0,19.0,69.0,62.0,1897.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000029_img_000002_cat_connector.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,30,4,glass_object,367.0,0.0,91.0,67.0,5208.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000030_img_000002_cat_glass_object.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,31,8,cable,286.0,206.0,161.0,274.0,4026.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000031_img_000002_cat_cable.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,32,8,cable,369.0,59.0,76.0,138.0,2087.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000032_img_000002_cat_cable.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,33,3,metal_part,380.0,40.0,90.0,62.0,2825.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000033_img_000002_cat_metal_part.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,34,3,metal_part,392.0,463.0,60.0,17.0,727.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000034_img_000002_cat_metal_part.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,35,10,box,131.0,255.0,194.0,204.0,13824.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000035_img_000002_cat_box.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,36,2,robot_gripper,169.0,219.0,265.0,235.0,16061.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000036_img_000002_cat_robot_gripper.png
3,000002.png,data/cogar_sim_500/rgb/000002.png,37,2,robot_gripper,272.0,255.0,50.0,50.0,1254.0,partial_occlusion,1,1,1,1,0,data/cogar_sim_500/instance_masks/all/ann_00000037_img_000002_cat_robot_gripper.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,38,1,table,0.0,14.0,640.0,466.0,171394.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000038_img_000003_cat_table.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,39,1,table,124.0,0.0,516.0,284.0,76518.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000039_img_000003_cat_table.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,40,5,plastic_object,344.0,385.0,83.0,80.0,4081.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000040_img_000003_cat_plastic_object.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,41,7,connector,241.0,186.0,34.0,35.0,670.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000041_img_000003_cat_connector.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,42,3,metal_part,164.0,196.0,38.0,46.0,1325.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000042_img_000003_cat_metal_part.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,43,7,connector,322.0,355.0,5.0,21.0,69.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000043_img_000003_cat_connector.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,44,7,connector,158.0,189.0,25.0,42.0,412.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000044_img_000003_cat_connector.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,45,6,screw,437.0,347.0,20.0,14.0,208.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000045_img_000003_cat_screw.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,46,6,screw,272.0,131.0,14.0,15.0,28.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000046_img_000003_cat_screw.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,47,6,screw,224.0,142.0,20.0,19.0,231.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000047_img_000003_cat_screw.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,48,8,cable,231.0,156.0,194.0,26.0,1170.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000048_img_000003_cat_cable.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,49,6,screw,394.0,282.0,25.0,19.0,336.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000049_img_000003_cat_screw.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,50,7,connector,274.0,126.0,36.0,27.0,659.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000050_img_000003_cat_connector.png
4,000003.png,data/cogar_sim_500/rgb/000003.png,51,7,connector,266.0,146.0,56.0,22.0,629.0,small_parts,1,0,0,1,0,data/cogar_sim_500/instance_masks/all/ann_00000051_img_000003_cat_connector.png
