image_path,label_path,sequence,file_name,object_id,area,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y,area_ratio,bbox_area_ratio,bbox_width_ratio,bbox_height_ratio,binary_mask_path
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-32.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-32.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-32.png,3,4007,377,229,449,300,413,262,0.013044,0.017109,0.114062,0.150000,outputs/gt_binary_masks/00000_result_2018-08-24-13-13-32_obj3.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-53.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-53.png,3,4025,377,229,449,300,413,263,0.013102,0.017109,0.114062,0.150000,outputs/gt_binary_masks/00001_result_2018-08-24-13-13-53_obj3.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-13-53.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-13-53.png,4,2521,374,292,453,390,412,343,0.008206,0.025781,0.125000,0.206250,outputs/gt_binary_masks/00002_result_2018-08-24-13-13-53_obj4.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-16.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-16.png,3,4007,377,229,449,300,413,263,0.013044,0.017109,0.114062,0.150000,outputs/gt_binary_masks/00003_result_2018-08-24-13-14-16_obj3.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-16.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-16.png,4,2508,375,293,452,392,412,344,0.008164,0.025391,0.121875,0.208333,outputs/gt_binary_masks/00004_result_2018-08-24-13-14-16_obj4.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-16.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-16.png,5,3426,317,255,378,331,345,291,0.011152,0.015540,0.096875,0.160417,outputs/gt_binary_masks/00005_result_2018-08-24-13-14-16_obj5.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-40.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-40.png,3,4010,377,229,449,299,413,262,0.013053,0.016872,0.114062,0.147917,outputs/gt_binary_masks/00006_result_2018-08-24-13-14-40_obj3.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-40.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-40.png,4,2459,375,293,453,390,412,343,0.008005,0.025202,0.123438,0.204167,outputs/gt_binary_masks/00007_result_2018-08-24-13-14-40_obj4.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-40.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-40.png,5,3398,317,255,377,331,345,291,0.011061,0.015290,0.095312,0.160417,outputs/gt_binary_masks/00008_result_2018-08-24-13-14-40_obj5.png
/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/mnt/Info/COGAR_DATASETs/OCID/OCID-dataset/YCB10/table/top/mixed/seq21/label/result_2018-08-24-13-14-40.png,YCB10/table/top/mixed/seq21,result_2018-08-24-13-14-40.png,6,4877,316,324,399,405,356,364,0.015876,0.022422,0.131250,0.170833,outputs/gt_binary_masks/00009_result_2018-08-24-13-14-40_obj6.png
