image_id,frame_index,image_path,label_path,file_name,sequence,object_set,surface,camera_view,scene_type,sequence_id
0,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-17.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-17.png,result_2018-08-27-15-54-17.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
1,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-36.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-36.png,result_2018-08-27-15-54-36.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
2,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-58.png,result_2018-08-27-15-54-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
8,8,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-50.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-50.png,result_2018-08-27-15-57-50.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
9,9,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-58-44.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-58-44.png,result_2018-08-27-15-58-44.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03
10,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-01-55.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-01-55.png,result_2018-08-27-16-01-55.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
11,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-15.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-15.png,result_2018-08-27-16-02-15.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
12,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/rgb/result_2018-08-27-16-02-37.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq04/label/result_2018-08-27-16-02-37.png,result_2018-08-27-16-02-37.png,ARID10/floor/bottom/box/seq04,ARID10,floor,bottom,box,seq04
