image_id,frame_index,image_path,label_path,file_name,sequence,object_set,surface,camera_view,scene_type,sequence_id,category_name,object_id,area,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y
0,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-17.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-17.png,result_2018-08-27-15-54-17.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,231226,0,12,598,469,292,259
0,0,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-17.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-17.png,result_2018-08-27-15-54-17.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,36526,183,38,451,193,314,114
1,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-36.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-36.png,result_2018-08-27-15-54-36.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,220645,0,12,598,469,284,262
1,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-36.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-36.png,result_2018-08-27-15-54-36.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,35678,181,38,451,192,312,113
1,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-36.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-36.png,result_2018-08-27-15-54-36.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11138,398,127,529,268,457,192
2,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-58.png,result_2018-08-27-15-54-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,205430,0,12,598,469,284,264
2,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-58.png,result_2018-08-27-15-54-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,34342,182,38,451,192,311,110
2,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-58.png,result_2018-08-27-15-54-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11097,397,127,529,268,457,191
2,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-58.png,result_2018-08-27-15-54-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,16451,183,164,378,308,281,232
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,1,198449,0,12,598,469,288,271
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,2,34229,183,38,451,192,312,110
