image_id,frame_index,image_path,label_path,file_name,sequence,object_set,surface,camera_view,scene_type,sequence_id,category_name,object_id,area,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y,area_ratio,bbox_area_ratio,bbox_width_ratio,bbox_height_ratio
1,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-36.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-36.png,result_2018-08-27-15-54-36.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11138,398,127,529,268,457,192,0.036257,0.061016,0.206250,0.295833
2,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-58.png,result_2018-08-27-15-54-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11097,397,127,529,268,457,191,0.036123,0.061478,0.207813,0.295833
2,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-58.png,result_2018-08-27-15-54-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,16451,183,164,378,308,281,232,0.053551,0.092513,0.306250,0.302083
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11006,397,127,529,268,456,192,0.035827,0.061478,0.207813,0.295833
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,16371,183,164,378,308,281,232,0.053291,0.092513,0.306250,0.302083
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6999,132,15,249,149,177,63,0.022783,0.051855,0.184375,0.281250
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11111,397,127,529,268,457,192,0.036169,0.061478,0.207813,0.295833
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,16395,182,164,378,308,281,232,0.053369,0.092985,0.307812,0.302083
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6154,134,15,249,124,178,54,0.020033,0.041536,0.181250,0.229167
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,16502,43,115,200,265,126,192,0.053717,0.077663,0.246875,0.314583
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,10370,398,127,529,258,457,188,0.033757,0.056719,0.206250,0.275000
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,15066,181,164,378,308,279,229,0.049043,0.093457,0.309375,0.302083
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6176,134,15,249,124,178,54,0.020104,0.041536,0.181250,0.229167
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,16492,43,115,199,265,126,192,0.053685,0.077171,0.245312,0.314583
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-34.png,result_2018-08-27-15-56-34.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,20869,275,239,487,368,376,302,0.067933,0.090137,0.332813,0.270833
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,10433,397,127,529,259,457,188,0.033962,0.057581,0.207813,0.277083
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4441,191,164,360,308,257,249,0.014456,0.080241,0.265625,0.302083
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6143,134,15,249,124,178,54,0.019997,0.041536,0.181250,0.229167
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,14030,43,115,196,265,118,192,0.045671,0.075697,0.240625,0.314583
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18914,275,239,488,368,380,306,0.061569,0.090560,0.334375,0.270833
6,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-56-58.png,result_2018-08-27-15-56-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18761,142,151,397,285,271,215,0.061071,0.112500,0.400000,0.281250
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,10463,397,127,529,259,457,188,0.034059,0.057581,0.207813,0.277083
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,4445,188,164,360,308,257,249,0.014469,0.081657,0.270313,0.302083
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6202,132,15,248,124,178,54,0.020189,0.041895,0.182812,0.229167
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,10862,43,115,197,264,110,201,0.035358,0.075684,0.242188,0.312500
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,7,18901,273,239,488,368,380,306,0.061527,0.091406,0.337500,0.270833
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,8,18282,141,155,397,286,274,216,0.059512,0.110430,0.401562,0.275000
7,7,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-57-26.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-57-26.png,result_2018-08-27-15-57-26.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,9,3749,103,132,191,193,147,162,0.012204,0.017962,0.139063,0.129167
