image_id,frame_index,image_path,label_path,file_name,sequence,object_set,surface,camera_view,scene_type,sequence_id,category_name,object_id,area,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,point_x,point_y,area_ratio,bbox_area_ratio,bbox_width_ratio,bbox_height_ratio,binary_mask_path
1,1,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-36.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-36.png,result_2018-08-27-15-54-36.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11138,398,127,529,268,457,192,0.036257,0.061016,0.206250,0.295833,outputs/ocid_full/gt_binary_masks/00000_result_2018-08-27-15-54-36_obj3.png
2,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-58.png,result_2018-08-27-15-54-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11097,397,127,529,268,457,191,0.036123,0.061478,0.207813,0.295833,outputs/ocid_full/gt_binary_masks/00001_result_2018-08-27-15-54-58_obj3.png
2,2,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-54-58.png,result_2018-08-27-15-54-58.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,16451,183,164,378,308,281,232,0.053551,0.092513,0.306250,0.302083,outputs/ocid_full/gt_binary_masks/00002_result_2018-08-27-15-54-58_obj4.png
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11006,397,127,529,268,456,192,0.035827,0.061478,0.207813,0.295833,outputs/ocid_full/gt_binary_masks/00003_result_2018-08-27-15-55-23_obj3.png
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,16371,183,164,378,308,281,232,0.053291,0.092513,0.306250,0.302083,outputs/ocid_full/gt_binary_masks/00004_result_2018-08-27-15-55-23_obj4.png
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-23.png,result_2018-08-27-15-55-23.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6999,132,15,249,149,177,63,0.022783,0.051855,0.184375,0.281250,outputs/ocid_full/gt_binary_masks/00005_result_2018-08-27-15-55-23_obj5.png
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,3,11111,397,127,529,268,457,192,0.036169,0.061478,0.207813,0.295833,outputs/ocid_full/gt_binary_masks/00006_result_2018-08-27-15-55-46_obj3.png
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,4,16395,182,164,378,308,281,232,0.053369,0.092985,0.307812,0.302083,outputs/ocid_full/gt_binary_masks/00007_result_2018-08-27-15-55-46_obj4.png
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,5,6154,134,15,249,124,178,54,0.020033,0.041536,0.181250,0.229167,outputs/ocid_full/gt_binary_masks/00008_result_2018-08-27-15-55-46_obj5.png
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/Info/COGAR_DATASETs/OCID-dataset/ARID10/floor/bottom/box/seq03/label/result_2018-08-27-15-55-46.png,result_2018-08-27-15-55-46.png,ARID10/floor/bottom/box/seq03,ARID10,floor,bottom,box,seq03,box,6,16502,43,115,200,265,126,192,0.053717,0.077663,0.246875,0.314583,outputs/ocid_full/gt_binary_masks/00009_result_2018-08-27-15-55-46_obj6.png
