row_index,file_name,object_id,image_path,gt_mask_path,sam_mask_path,sam_score,stability_score,generated_mask_count,iou,boundary_f1,image_gen_latency_sec,image_gen_fps,device,model_type,points_per_side,pred_iou_thresh,stability_score_thresh,crop_n_layers,crop_n_points_downscale_factor,min_mask_region_area
0,result_2018-08-27-15-54-36.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-36.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00000_result_2018-08-27-15-54-36_obj3.png,,0.9741255640983582,0.9764267802238464,44,0.9099315068493151,0.7447727080335225,1.9642816870000388,0.5090919528589894,cuda,vit_b,16,0.9,0.92,0,,
1,result_2018-08-27-15-54-58.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00001_result_2018-08-27-15-54-58_obj3.png,,0.9824560880661011,0.9741547107696533,35,0.9055812360897106,0.7336846253776875,1.473880623000241,0.6784810006962392,cuda,vit_b,16,0.9,0.92,0,,
2,result_2018-08-27-15-54-58.png,4,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00002_result_2018-08-27-15-54-58_obj4.png,,0.9784876108169556,0.9822699427604675,35,0.9495607482220761,0.9046408403244173,1.473880623000241,0.6784810006962392,cuda,vit_b,16,0.9,0.92,0,,
3,result_2018-08-27-15-55-23.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00003_result_2018-08-27-15-55-23_obj3.png,,0.9867235422134399,0.9767257571220398,34,0.9011205200581645,0.7144905936278507,1.4471001599999909,0.6910371705024249,cuda,vit_b,16,0.9,0.92,0,,
4,result_2018-08-27-15-55-23.png,4,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00004_result_2018-08-27-15-55-23_obj4.png,,0.9920873641967773,0.9423583745956421,34,0.9455721214298545,0.8477387637642638,1.4471001599999909,0.6910371705024249,cuda,vit_b,16,0.9,0.92,0,,
5,result_2018-08-27-15-55-23.png,5,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00005_result_2018-08-27-15-55-23_obj5.png,,0.9204154014587402,0.9460293054580688,34,0.012133839931364137,0.19519025448944585,1.4471001599999909,0.6910371705024249,cuda,vit_b,16,0.9,0.92,0,,
6,result_2018-08-27-15-55-46.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00006_result_2018-08-27-15-55-46_obj3.png,,0.9832414388656616,0.976226270198822,35,0.9032505758894293,0.7333579998942863,1.4392293900000368,0.6948162724775753,cuda,vit_b,16,0.9,0.92,0,,
7,result_2018-08-27-15-55-46.png,4,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00007_result_2018-08-27-15-55-46_obj4.png,,0.9924296140670776,0.9733259677886963,35,0.9506683450218786,0.8958972927714206,1.4392293900000368,0.6948162724775753,cuda,vit_b,16,0.9,0.92,0,,
8,result_2018-08-27-15-55-46.png,5,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00008_result_2018-08-27-15-55-46_obj5.png,,0.9108868837356567,0.9419457912445068,35,0.4622836271240273,0.3474186847477136,1.4392293900000368,0.6948162724775753,cuda,vit_b,16,0.9,0.92,0,,
9,result_2018-08-27-15-55-46.png,6,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00009_result_2018-08-27-15-55-46_obj6.png,,0.937928318977356,0.974677324295044,35,0.9535971223021583,0.8839477068152594,1.4392293900000368,0.6948162724775753,cuda,vit_b,16,0.9,0.92,0,,
10,result_2018-08-27-15-56-34.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00010_result_2018-08-27-15-56-34_obj3.png,,0.9853683710098267,0.9572374820709229,40,0.8678564990084731,0.618906151073881,1.441523006999887,0.6937107456100965,cuda,vit_b,16,0.9,0.92,0,,
11,result_2018-08-27-15-56-34.png,4,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00011_result_2018-08-27-15-56-34_obj4.png,,0.9734494090080261,0.9203675389289856,40,0.9405542215588293,0.8269436710216319,1.441523006999887,0.6937107456100965,cuda,vit_b,16,0.9,0.92,0,,
12,result_2018-08-27-15-56-34.png,5,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00012_result_2018-08-27-15-56-34_obj5.png,,0.927234411239624,0.9464763402938843,40,0.0010708787899069675,0.15150468803952297,1.441523006999887,0.6937107456100965,cuda,vit_b,16,0.9,0.92,0,,
