row_index,file_name,object_id,image_path,gt_mask_path,point_x,point_y,sam_score,iou,boundary_f1,latency_sec,fps,mask_output_path,visualization_output_path,device,model_type
0,result_2018-08-27-15-54-36.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-36.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00000_result_2018-08-27-15-54-36_obj3.png,457.0,192.0,0.7821177244186401,0.8920292977165015,0.6027420595523592,0.16373351299989736,6.1074851548603055,,,cuda,vit_b
1,result_2018-08-27-15-54-58.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00001_result_2018-08-27-15-54-58_obj3.png,457.0,191.0,0.9392412900924683,0.906231250535699,0.7363833414976169,0.043328582999947685,23.079453117615394,,,cuda,vit_b
2,result_2018-08-27-15-54-58.png,4,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-54-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00002_result_2018-08-27-15-54-58_obj4.png,281.0,232.0,0.9247636795043945,0.20424290316698074,0.0,0.0063606590001654695,157.21641420707908,,,cuda,vit_b
3,result_2018-08-27-15-55-23.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00003_result_2018-08-27-15-55-23_obj3.png,456.0,192.0,0.742871880531311,0.6929877784519373,0.3285726232844253,0.04407962599998427,22.68621789123975,,,cuda,vit_b
4,result_2018-08-27-15-55-23.png,4,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00004_result_2018-08-27-15-55-23_obj4.png,281.0,232.0,0.9261427521705627,0.20615722924683894,0.0,0.006686171000183094,149.56243266476673,,,cuda,vit_b
5,result_2018-08-27-15-55-23.png,5,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-23.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00005_result_2018-08-27-15-55-23_obj5.png,177.0,63.0,0.5636522173881531,0.1629461111901038,0.11948457633736821,0.006067083999823808,164.82382640969544,,,cuda,vit_b
6,result_2018-08-27-15-55-46.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00006_result_2018-08-27-15-55-46_obj3.png,457.0,192.0,0.8730966448783875,0.8943228454172366,0.6696511546086074,0.04349904199989396,22.98901203393026,,,cuda,vit_b
7,result_2018-08-27-15-55-46.png,4,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00007_result_2018-08-27-15-55-46_obj4.png,281.0,232.0,0.9267945289611816,0.2051235132662397,0.0,0.0066421779997654085,150.55302643730994,,,cuda,vit_b
8,result_2018-08-27-15-55-46.png,5,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00008_result_2018-08-27-15-55-46_obj5.png,178.0,54.0,0.8027602434158325,0.4362533907770863,0.2854892695412483,0.00601647099983893,166.21039144488049,,,cuda,vit_b
9,result_2018-08-27-15-55-46.png,6,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-55-46.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00009_result_2018-08-27-15-55-46_obj6.png,126.0,192.0,0.9355935454368591,0.14882538144829258,0.0,0.005900231000396161,169.48488964802507,,,cuda,vit_b
10,result_2018-08-27-15-56-34.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00010_result_2018-08-27-15-56-34_obj3.png,457.0,188.0,0.876078188419342,0.8655734750878458,0.5351506603938686,0.043592804999661894,22.939565371114707,,,cuda,vit_b
11,result_2018-08-27-15-56-34.png,4,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00011_result_2018-08-27-15-56-34_obj4.png,279.0,229.0,0.9492508172988892,0.22328421611575733,0.0,0.006245939000109502,160.10402919120222,,,cuda,vit_b
12,result_2018-08-27-15-56-34.png,5,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00012_result_2018-08-27-15-56-34_obj5.png,178.0,54.0,0.7689340114593506,0.4204237693165525,0.2502094554159186,0.006121441000232153,163.36022841061043,,,cuda,vit_b
13,result_2018-08-27-15-56-34.png,6,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00013_result_2018-08-27-15-56-34_obj6.png,126.0,192.0,0.9380673170089722,0.14870023632066898,0.0,0.006054971999674308,165.15353003346493,,,cuda,vit_b
14,result_2018-08-27-15-56-34.png,7,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-34.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00014_result_2018-08-27-15-56-34_obj7.png,376.0,302.0,0.595822811126709,0.03910105898701423,0.0,0.00593955999966056,168.36263966643136,,,cuda,vit_b
15,result_2018-08-27-15-56-58.png,3,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00015_result_2018-08-27-15-56-58_obj3.png,457.0,188.0,0.8401691913604736,0.846070558513038,0.45175447426167137,0.043675381999946694,22.89619355822052,,,cuda,vit_b
16,result_2018-08-27-15-56-58.png,4,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00016_result_2018-08-27-15-56-58_obj4.png,257.0,249.0,0.7542461156845093,0.0,0.0034188034188034184,0.006824777000019822,146.52493407434346,,,cuda,vit_b
17,result_2018-08-27-15-56-58.png,5,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00017_result_2018-08-27-15-56-58_obj5.png,178.0,54.0,0.7800153493881226,0.42451324609000957,0.2570306328922168,0.0063035329999365786,158.6411937575422,,,cuda,vit_b
18,result_2018-08-27-15-56-58.png,6,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00018_result_2018-08-27-15-56-58_obj6.png,118.0,192.0,0.9058012366294861,0.1371797601305798,0.102880658436214,0.006183496000176092,161.72081294651477,,,cuda,vit_b
19,result_2018-08-27-15-56-58.png,7,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00019_result_2018-08-27-15-56-58_obj7.png,380.0,306.0,0.6414763331413269,0.07211589298932009,0.0,0.006208477999734896,161.07007225324796,,,cuda,vit_b
20,result_2018-08-27-15-56-58.png,8,/mnt/cogar/datasets/OCID-dataset/ARID10/floor/bottom/box/seq03/rgb/result_2018-08-27-15-56-58.png,/mnt/cogar/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/ocid_full/gt_binary_masks/00020_result_2018-08-27-15-56-58_obj8.png,271.0,215.0,0.7302542924880981,0.06460210010127392,0.0,0.006102064000060636,163.878976030088,,,cuda,vit_b
