sequence,objects
ARID20/floor/bottom/seq01,210
ARID20/floor/bottom/seq03,210
ARID20/floor/bottom/seq06,210
ARID20/floor/bottom/seq07,210
ARID20/floor/bottom/seq08,210
ARID20/floor/bottom/seq09,210
ARID20/floor/top/seq01,210
ARID20/floor/top/seq02,210
ARID20/floor/top/seq03,210
ARID20/floor/top/seq04,210
ARID20/floor/top/seq05,210
ARID20/floor/top/seq06,210
ARID20/floor/top/seq08,210
ARID20/floor/top/seq09,210
ARID20/floor/top/seq10,210
ARID20/floor/top/seq12,210
ARID20/floor/top/seq13,210
ARID20/table/bottom/seq01,210
ARID20/table/bottom/seq03,210
ARID20/table/bottom/seq04,210
ARID20/table/bottom/seq05,210
ARID20/table/bottom/seq06,210
ARID20/table/bottom/seq07,210
ARID20/table/bottom/seq10,210
ARID20/table/bottom/seq11,210
ARID20/table/bottom/seq12,210
ARID20/table/bottom/seq13,210
ARID20/table/top/seq01,210
ARID20/table/top/seq02,210
ARID20/table/top/seq03,210
ARID20/table/top/seq04,210
ARID20/table/top/seq05,210
ARID20/table/top/seq07,210
ARID20/table/top/seq08,210
ARID20/table/top/seq09,210
ARID20/table/top/seq10,210
ARID20/table/top/seq12,210
ARID20/table/top/seq13,210
ARID20/table/bottom/seq08,203
ARID20/floor/top/seq07,202
ARID20/floor/top/seq11,202
ARID20/table/top/seq06,202
ARID20/floor/bottom/seq02,199
ARID20/floor/bottom/seq05,199
ARID20/table/top/seq11,199
ARID20/floor/bottom/seq11,198
ARID20/floor/bottom/seq04,196
ARID20/table/bottom/seq09,195
ARID20/floor/bottom/seq12,194
ARID20/table/bottom/seq02,191
ARID20/floor/bottom/seq10,190
ARID20/floor/bottom/seq13,190
ARID10/floor/bottom/box/seq04,55
ARID10/floor/bottom/curved/seq05,55
ARID10/floor/bottom/curved/seq06,55
ARID10/floor/bottom/curved/seq35,55
ARID10/floor/bottom/curved/seq36,55
ARID10/floor/bottom/fruits/seq07,55
ARID10/floor/bottom/fruits/seq37,55
