row_index,file_name,object_id,image_path,gt_mask_path,sam_mask_path,sam_score,stability_score,generated_mask_count,iou,boundary_f1,image_gen_latency_sec,image_gen_fps,device,model_type
0,000000.png,3,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000003_img_000000_cat_box.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0000_object_3_sam_auto_mask.png,1.002148985862732,0.9855870008468628,29,0.9840614548494984,1.0,13.23596470100074,0.07555172762922165,cuda,vit_b
1,000000.png,4,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000004_img_000000_cat_plastic_object.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0001_object_4_sam_auto_mask.png,0.9908460378646851,0.9871319532394409,29,0.9823161526849256,1.0,13.23596470100074,0.07555172762922165,cuda,vit_b
2,000000.png,5,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000005_img_000000_cat_plastic_object.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0002_object_5_sam_auto_mask.png,1.02748441696167,0.9917781949043274,29,0.9758426966292135,1.0,13.23596470100074,0.07555172762922165,cuda,vit_b
3,000000.png,6,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000006_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0003_object_6_sam_auto_mask.png,0.9613401889801025,0.987860381603241,29,0.9315263908701854,1.0,13.23596470100074,0.07555172762922165,cuda,vit_b
4,000000.png,7,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000007_img_000000_cat_box.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0004_object_7_sam_auto_mask.png,1.0302467346191406,0.9923436045646667,29,0.9843424524371615,0.9212350346565847,13.23596470100074,0.07555172762922165,cuda,vit_b
5,000000.png,8,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000008_img_000000_cat_tool.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0005_object_8_sam_auto_mask.png,0.9649660587310791,0.9760765433311462,29,0.9647577092511013,0.99836867862969,13.23596470100074,0.07555172762922165,cuda,vit_b
6,000000.png,9,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000009_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0006_object_9_sam_auto_mask.png,0.9433363676071167,0.96875,29,0.9278350515463918,1.0,13.23596470100074,0.07555172762922165,cuda,vit_b
7,000000.png,10,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000010_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0007_object_10_sam_auto_mask.png,0.9336979389190674,0.9592961668968201,29,0.9035812672176309,0.8830265584058486,13.23596470100074,0.07555172762922165,cuda,vit_b
8,000000.png,11,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000011_img_000000_cat_connector.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0008_object_11_sam_auto_mask.png,0.9814157485961914,0.9799599051475525,29,0.9615384615384616,1.0,13.23596470100074,0.07555172762922165,cuda,vit_b
9,000000.png,12,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000012_img_000000_cat_box.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_25rows/masks/row_0009_object_12_sam_auto_mask.png,1.0052058696746826,0.9872918128967285,29,0.9905437352245863,0.9989909182643794,13.23596470100074,0.07555172762922165,cuda,vit_b
