row_index,file_name,object_id,image_path,gt_mask_path,sam_mask_path,sam_score,stability_score,generated_mask_count,iou,boundary_f1,image_gen_latency_sec,image_gen_fps,device,model_type
0,000000.png,3,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000003_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0000_object_3_sam_auto_mask.png,0.9495031237602234,0.9757053256034851,26,0.9717928902627512,0.994487849302593,13.730142950999834,0.07283245364369492,cuda,vit_b
1,000000.png,4,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000004_img_000000_cat_tool.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0001_object_4_sam_auto_mask.png,0.930616021156311,0.9704681038856506,26,0.6909861668897813,0.7122156244654594,13.730142950999834,0.07283245364369492,cuda,vit_b
2,000000.png,5,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000005_img_000000_cat_box.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0002_object_5_sam_auto_mask.png,0.9857240319252014,0.9828780293464661,26,0.9791855203619909,0.999129677980853,13.730142950999834,0.07283245364369492,cuda,vit_b
3,000000.png,6,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000006_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0003_object_6_sam_auto_mask.png,1.0122274160385132,0.9918946027755737,26,0.9911200807265389,1.0,13.730142950999834,0.07283245364369492,cuda,vit_b
4,000000.png,7,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000007_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0004_object_7_sam_auto_mask.png,1.0018020868301392,0.9835893511772156,26,0.9794805194805195,0.9936305732484078,13.730142950999834,0.07283245364369492,cuda,vit_b
5,000000.png,8,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000008_img_000000_cat_screw.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0005_object_8_sam_auto_mask.png,0.9688246250152588,0.9816513657569885,26,0.9302325581395349,1.0,13.730142950999834,0.07283245364369492,cuda,vit_b
6,000000.png,9,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000009_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0006_object_9_sam_auto_mask.png,1.0104173421859741,0.9853789806365967,26,0.9743153918791313,1.0,13.730142950999834,0.07283245364369492,cuda,vit_b
7,000001.png,11,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000011_img_000001_cat_connector.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0007_object_11_sam_auto_mask.png,0.9923838376998901,0.957507848739624,20,0.9244881680404148,0.8143877748048437,13.725534164999772,0.07285690946367744,cuda,vit_b
8,000001.png,12,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000012_img_000001_cat_glass_object.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0008_object_12_sam_auto_mask.png,0.9382451176643372,0.960634708404541,20,0.9393360752056404,0.8594540566088904,13.725534164999772,0.07285690946367744,cuda,vit_b
9,000001.png,13,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000013_img_000001_cat_glass_object.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0009_object_13_sam_auto_mask.png,0.9708648920059204,0.9791944026947021,20,0.9865526687142027,1.0,13.725534164999772,0.07285690946367744,cuda,vit_b
10,000001.png,14,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000014_img_000001_cat_cable.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0010_object_14_sam_auto_mask.png,0.9780518412590027,0.9750143885612488,20,0.7494768879589119,0.6215475668566418,13.725534164999772,0.07285690946367744,cuda,vit_b
11,000001.png,15,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000015_img_000001_cat_robot_gripper.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0011_object_15_sam_auto_mask.png,0.9698666930198669,0.9661701917648315,20,0.6692030045849185,0.5512638273043488,13.725534164999772,0.07285690946367744,cuda,vit_b
12,000001.png,16,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000016_img_000001_cat_robot_gripper.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0012_object_16_sam_auto_mask.png,0.9533078074455261,0.9731088876724243,20,0.7312560856864654,0.7453416149068323,13.725534164999772,0.07285690946367744,cuda,vit_b
13,000001.png,17,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000017_img_000001_cat_robot_gripper.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0013_object_17_sam_auto_mask.png,0.9329479932785034,0.9680851101875305,20,0.21739130434782608,0.3680555555555556,13.725534164999772,0.07285690946367744,cuda,vit_b
14,000002.png,20,data/cogar_sim_500_final/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000020_img_000002_cat_glass_object.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0014_object_20_sam_auto_mask.png,0.9531926512718201,0.9733293652534485,27,0.9863609112709832,0.9920634920634921,14.063787782999498,0.07110459965904875,cuda,vit_b
15,000002.png,21,data/cogar_sim_500_final/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000021_img_000002_cat_box.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0015_object_21_sam_auto_mask.png,1.00644850730896,0.9833568334579468,27,0.9893024489435063,1.0,14.063787782999498,0.07110459965904875,cuda,vit_b
16,000002.png,22,data/cogar_sim_500_final/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000022_img_000002_cat_screw.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0016_object_22_sam_auto_mask.png,0.9686962962150574,0.9864864945411682,27,0.9484304932735426,0.9887640449438202,14.063787782999498,0.07110459965904875,cuda,vit_b
17,000002.png,23,data/cogar_sim_500_final/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000023_img_000002_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0017_object_23_sam_auto_mask.png,1.001802682876587,0.9885799884796143,27,0.9761958739514849,1.0,14.063787782999498,0.07110459965904875,cuda,vit_b
18,000002.png,24,data/cogar_sim_500_final/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000024_img_000002_cat_box.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0018_object_24_sam_auto_mask.png,1.0166351795196533,0.9878756999969482,27,0.9873691808011548,1.0,14.063787782999498,0.07110459965904875,cuda,vit_b
19,000002.png,25,data/cogar_sim_500_final/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000025_img_000002_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_final/masks/row_0019_object_25_sam_auto_mask.png,0.9632105231285095,0.9754342436790466,27,0.9666993143976493,0.9708460111767059,14.063787782999498,0.07110459965904875,cuda,vit_b
