row_index,file_name,object_id,image_path,gt_mask_path,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sam_mask_path,sam_visualization_path,sam_score,iou,boundary_f1,latency_sec,fps,device,model_type
0,000000.png,3,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000003_img_000000_cat_metal_part.png,512.0,201.0,556.0,286.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0000_object_3_sam_mask.png,,0.9712045788764954,0.9736943907156673,0.9981785063752276,0.04428453900027307,22.581244438241384,cuda,vit_b
1,000000.png,4,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000004_img_000000_cat_tool.png,534.0,229.0,585.0,374.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0001_object_4_sam_mask.png,,0.9775415062904358,0.9706275033377837,1.0,0.012245355000231939,81.66361857055668,cuda,vit_b
2,000000.png,5,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000005_img_000000_cat_box.png,395.0,149.0,550.0,269.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0002_object_5_sam_mask.png,,0.9970381855964661,0.9815126050420168,1.0,0.012374236000141536,80.8130699938616,cuda,vit_b
3,000000.png,6,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000006_img_000000_cat_metal_part.png,222.0,122.0,298.0,195.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0003_object_6_sam_mask.png,,0.9791553020477295,0.9872804360993337,1.0,0.012150194999776431,82.30320583483643,cuda,vit_b
4,000000.png,7,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000007_img_000000_cat_metal_part.png,161.0,218.0,239.0,339.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0004_object_7_sam_mask.png,,0.9825946092605591,0.9790691627665107,1.0,0.012850962000356958,77.81518612942932,cuda,vit_b
5,000000.png,8,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000008_img_000000_cat_screw.png,217.0,227.0,232.0,249.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0005_object_8_sam_mask.png,,0.96443772315979,0.9478672985781991,1.0,0.012074929999926098,82.81621508415537,cuda,vit_b
6,000000.png,9,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000009_img_000000_cat_metal_part.png,306.0,269.0,378.0,386.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0006_object_9_sam_mask.png,,0.9872923493385315,0.9712936732766762,1.0,0.01214505799998733,82.33801765302753,cuda,vit_b
7,000001.png,11,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000011_img_000001_cat_connector.png,461.0,112.0,551.0,159.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0007_object_11_sam_mask.png,,0.9641625881195068,0.9584947426674045,0.9413769113909674,0.15568593100033468,6.42318797578344,cuda,vit_b
8,000001.png,12,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000012_img_000001_cat_glass_object.png,378.0,68.0,468.0,216.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0008_object_12_sam_mask.png,,0.9723473787307739,0.9255834434169969,0.841552012589667,0.012172247999842511,82.15409347664773,cuda,vit_b
9,000001.png,13,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000013_img_000001_cat_glass_object.png,236.0,176.0,321.0,339.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_box_v2/masks/row_0009_object_13_sam_mask.png,,0.990824282169342,0.9807388958073889,1.0,0.012135424999996758,82.40337689040699,cuda,vit_b
