row_index,file_name,object_id,image_path,gt_mask_path,point_x,point_y,sam_score,iou,boundary_f1,latency_sec,fps,mask_output_path,visualization_output_path,device,model_type
0,000000.png,3,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000003_img_000000_cat_box.png,330.0,187.0,0.9828764796257019,0.9833907865872767,0.9950953486183859,0.16960054300000138,5.896207537495867,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0000_object_3_sam_point_mask.png,,cuda,vit_b
1,000000.png,4,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000004_img_000000_cat_plastic_object.png,93.0,252.0,0.831983208656311,0.6918429003021148,0.694779787981139,0.012708054000086122,78.69025422721866,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0001_object_4_sam_point_mask.png,,cuda,vit_b
2,000000.png,5,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000005_img_000000_cat_plastic_object.png,351.0,428.0,0.7605602145195007,0.9569288389513109,1.0,0.013263252000001557,75.39629044218435,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0002_object_5_sam_point_mask.png,,cuda,vit_b
3,000000.png,6,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000006_img_000000_cat_metal_part.png,393.0,136.0,0.9472156763076782,0.9329529243937232,1.0,0.01268476500001725,78.83472811665332,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0003_object_6_sam_point_mask.png,,cuda,vit_b
4,000000.png,7,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000007_img_000000_cat_box.png,141.0,453.0,0.9798895120620728,0.982498784637822,0.920075519194462,0.012574086000086027,79.52864327420366,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0004_object_7_sam_point_mask.png,,cuda,vit_b
5,000000.png,8,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000008_img_000000_cat_tool.png,105.0,321.0,0.8524718880653381,0.9588405797101449,1.0,0.012702182999987599,78.72662517938659,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0005_object_8_sam_point_mask.png,,cuda,vit_b
6,000000.png,9,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000009_img_000000_cat_metal_part.png,389.0,49.0,0.9056718349456787,0.905,1.0,0.01228584500006491,81.39448283733978,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0006_object_9_sam_point_mask.png,,cuda,vit_b
7,000000.png,10,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000010_img_000000_cat_metal_part.png,437.0,199.0,0.8741311430931091,0.9354838709677419,0.931899641577061,0.012477284000055988,80.14564708116869,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0007_object_10_sam_point_mask.png,,cuda,vit_b
8,000000.png,11,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000011_img_000000_cat_connector.png,175.0,153.0,0.9578342437744141,0.9298469387755102,0.9791611942912178,0.012424821999957203,80.48405039552635,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0008_object_11_sam_point_mask.png,,cuda,vit_b
9,000000.png,12,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000012_img_000000_cat_box.png,458.0,0.0,0.9964855909347534,0.9873088443953965,0.9376476796572256,0.0126282240000819,79.18769891898611,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0009_object_12_sam_point_mask.png,,cuda,vit_b
10,000000.png,13,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000013_img_000000_cat_plastic_object.png,205.0,230.0,0.9598404169082642,0.9782901229030232,0.99009900990099,0.012481957999966653,80.1156357041637,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0010_object_13_sam_point_mask.png,,cuda,vit_b
11,000000.png,14,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000014_img_000000_cat_box.png,398.0,290.0,0.9591827392578125,0.9233149468586035,0.8232322093154392,0.012445726999999351,80.34886190256721,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0011_object_14_sam_point_mask.png,,cuda,vit_b
12,000000.png,15,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000015_img_000000_cat_cable.png,447.0,149.0,0.8622164726257324,0.7857142857142857,0.9347826086956522,0.012377768999954242,80.7900034330659,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0012_object_15_sam_point_mask.png,,cuda,vit_b
13,000000.png,16,data/cogar_sim_500/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000016_img_000000_cat_metal_part.png,402.0,154.0,0.5609952211380005,0.448559670781893,0.6085212074894918,0.012251729000013256,81.62113282124653,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0013_object_16_sam_point_mask.png,,cuda,vit_b
14,000002.png,21,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000021_img_000002_cat_plastic_object.png,356.0,27.0,0.7210772037506104,0.9208534067446662,0.9523809523809523,0.15652201000000332,6.388877832580726,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0014_object_21_sam_point_mask.png,,cuda,vit_b
15,000002.png,22,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000022_img_000002_cat_plastic_object.png,425.0,340.0,0.6953355073928833,0.7465753424657534,0.6279295820282969,0.012885999999980413,77.6036008071954,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0015_object_22_sam_point_mask.png,,cuda,vit_b
16,000002.png,23,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000023_img_000002_cat_metal_part.png,331.0,479.0,0.9294168949127197,0.7314487632508834,0.8664627930682977,0.012458274000096026,80.26794080723319,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0016_object_23_sam_point_mask.png,,cuda,vit_b
17,000002.png,24,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000024_img_000002_cat_plastic_object.png,219.0,232.0,0.9508730173110962,0.989344909234412,1.0,0.012997659000006934,76.93693148892939,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0017_object_24_sam_point_mask.png,,cuda,vit_b
18,000002.png,25,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000025_img_000002_cat_tool.png,290.0,220.0,0.9844891428947449,0.9515418502202643,0.988621997471555,0.012448075000065728,80.3337062151955,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0018_object_25_sam_point_mask.png,,cuda,vit_b
19,000002.png,26,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000026_img_000002_cat_cable.png,348.0,226.0,0.9091715216636658,0.8141702921068987,0.8370702541106129,0.012527864000048794,79.82206703362243,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0019_object_26_sam_point_mask.png,,cuda,vit_b
20,000002.png,27,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000027_img_000002_cat_metal_part.png,366.0,446.0,0.8704712390899658,0.9465208143421452,0.9439421338155516,0.012967958000103863,77.11314302467596,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0020_object_27_sam_point_mask.png,,cuda,vit_b
21,000002.png,28,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000028_img_000002_cat_box.png,256.0,110.0,0.9212400913238525,0.980349932705249,0.9889328449328448,0.012460090000104174,80.25624212920127,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0021_object_28_sam_point_mask.png,,cuda,vit_b
22,000002.png,29,data/cogar_sim_500/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000029_img_000002_cat_connector.png,249.0,41.0,0.9610628485679626,0.9649214659685864,1.0,0.012340120000089883,81.03648910972635,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_v1/masks/row_0022_object_29_sam_point_mask.png,,cuda,vit_b
