row_index,file_name,object_id,image_path,gt_mask_path,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sam_mask_path,sam_visualization_path,sam_score,iou,boundary_f1,latency_sec,fps,device,model_type
0,000000.png,3,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000003_img_000000_cat_metal_part.png,512.0,201.0,556.0,286.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0000_object_3_sam_mask.png,,0.9795655012130737,0.9709752321981424,0.9981785063752276,0.1212045729989768,8.25051378225178,cpu,vit_h
1,000000.png,4,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000004_img_000000_cat_tool.png,534.0,229.0,585.0,374.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0001_object_4_sam_mask.png,,0.9477338194847107,0.9661054497120071,1.0,0.0730721479994827,13.685104754373436,cpu,vit_h
2,000000.png,5,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000005_img_000000_cat_box.png,395.0,149.0,550.0,269.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0002_object_5_sam_mask.png,,0.9897355437278748,0.982673907421774,0.9947552447552448,0.07496923199869343,13.338805445111511,cpu,vit_h
3,000000.png,6,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000006_img_000000_cat_metal_part.png,222.0,122.0,298.0,195.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0003_object_6_sam_mask.png,,0.9914309978485107,0.9894991922455574,1.0,0.07299600300029851,13.69938022491328,cpu,vit_h
4,000000.png,7,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000007_img_000000_cat_metal_part.png,161.0,218.0,239.0,339.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0004_object_7_sam_mask.png,,0.9858700633049011,0.9784191367654707,1.0,0.07428750100007164,13.46121469342515,cpu,vit_h
5,000000.png,8,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000008_img_000000_cat_screw.png,217.0,227.0,232.0,249.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0005_object_8_sam_mask.png,,0.9639351963996887,0.9128440366972477,1.0,0.07423770999957924,13.470243088124185,cpu,vit_h
6,000000.png,9,data/cogar_sim_500_final/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000009_img_000000_cat_metal_part.png,306.0,269.0,378.0,386.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0006_object_9_sam_mask.png,,0.9856563210487366,0.9716713881019831,1.0,0.07293988899982651,13.709919410521431,cpu,vit_h
7,000001.png,11,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000011_img_000001_cat_connector.png,461.0,112.0,551.0,159.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0007_object_11_sam_mask.png,,0.9744798541069031,0.9883423372192209,1.0,0.07918676199915353,12.628373414368042,cpu,vit_h
8,000001.png,12,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000012_img_000001_cat_glass_object.png,378.0,68.0,468.0,216.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0008_object_12_sam_mask.png,,0.9788976907730103,0.9490333919156415,0.9112298313579709,0.07994743499875767,12.50821868163174,cpu,vit_h
9,000001.png,13,data/cogar_sim_500_final/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_final/instance_masks/final/ann_00000013_img_000001_cat_glass_object.png,236.0,176.0,321.0,339.0,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_h_box_cpu_debug/masks/row_0009_object_13_sam_mask.png,,0.9693895578384399,0.9814876307487963,1.0,0.08112855600120383,12.326116096349125,cpu,vit_h
