row_index,object_id,image_path,gt_mask_path,point_x,point_y,sam_score,iou,mask_output_path,visualization_output_path,device,model_type
0,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-32.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00000_result_2018-08-24-13-13-32_obj3.png,413.0,262.0,0.7475641965866089,0.7031480570585342,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0000_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0000_object_3_sam_point_visualization.png,cuda,vit_b
1,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00001_result_2018-08-24-13-13-53_obj3.png,413.0,263.0,0.8098419308662415,0.8850405305821666,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0001_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0001_object_3_sam_point_visualization.png,cuda,vit_b
2,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-13-53.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00002_result_2018-08-24-13-13-53_obj4.png,412.0,343.0,0.9180353879928589,0.846875,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0002_object_4_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0002_object_4_sam_point_visualization.png,cuda,vit_b
3,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00003_result_2018-08-24-13-14-16_obj3.png,413.0,263.0,0.7763516902923584,0.8848335388409371,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0003_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0003_object_3_sam_point_visualization.png,cuda,vit_b
4,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00004_result_2018-08-24-13-14-16_obj4.png,412.0,344.0,0.8933566808700562,0.8372252747252747,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0004_object_4_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0004_object_4_sam_point_visualization.png,cuda,vit_b
5,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-16.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00005_result_2018-08-24-13-14-16_obj5.png,345.0,291.0,0.8323845267295837,0.8804532577903683,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0005_object_5_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0005_object_5_sam_point_visualization.png,cuda,vit_b
6,3,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00006_result_2018-08-24-13-14-40_obj3.png,413.0,262.0,0.71304851770401,0.8464955577492597,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0006_object_3_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0006_object_3_sam_point_visualization.png,cuda,vit_b
7,4,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00007_result_2018-08-24-13-14-40_obj4.png,412.0,343.0,0.886701226234436,0.8297202797202797,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0007_object_4_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0007_object_4_sam_point_visualization.png,cuda,vit_b
8,5,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00008_result_2018-08-24-13-14-40_obj5.png,345.0,291.0,0.8371028304100037,0.7922453703703703,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0008_object_5_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0008_object_5_sam_point_visualization.png,cuda,vit_b
9,6,/mnt/Info/COGAR_DATASETs/OCID-dataset/YCB10/table/top/mixed/seq21/rgb/result_2018-08-24-13-14-40.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/gt_binary_masks/00009_result_2018-08-24-13-14-40_obj6.png,356.0,364.0,0.6109749674797058,0.6461065573770491,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/masks/row_0009_object_6_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sam_point_prompt_batch/visualizations/row_0009_object_6_sam_point_visualization.png,cuda,vit_b
