model,prompt_type,split,image_path,instance_id,category,challenge,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iou,boundary_f1,predicted_iou,elapsed_s,fps,device
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,3,metal_part,reflective_metal,512.0,201.0,556.0,286.0,0.955899419729207,0.9963503649635036,0.9558653831481934,0.15763649075000785,6.34370884077772,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,4,tool,reflective_metal,534.0,229.0,585.0,374.0,0.9093938762757758,0.8225867507886435,0.9569662809371948,0.15763649075000785,6.34370884077772,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,5,box,reflective_metal,395.0,149.0,550.0,269.0,0.9800361803850627,0.999129677980853,0.9390513300895691,0.15763649075000785,6.34370884077772,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,6,metal_part,reflective_metal,222.0,122.0,298.0,195.0,0.97671617824167,1.0,0.9921336770057678,0.15763649075000785,6.34370884077772,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,7,metal_part,reflective_metal,161.0,218.0,239.0,339.0,0.9698732867856219,0.9558823529411764,0.9533886313438416,0.11805283333334653,8.470783561596473,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,8,screw,reflective_metal;small_parts,217.0,227.0,232.0,249.0,0.9560975609756097,1.0,0.9340426921844482,0.11805283333334653,8.470783561596473,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,9,metal_part,reflective_metal,306.0,269.0,378.0,386.0,0.9666352497643732,1.0,0.9702481031417847,0.11805283333334653,8.470783561596473,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,11,connector,transparent_glass;partial_occlusion;small_parts,461.0,112.0,551.0,159.0,0.9057441253263707,0.7876754211636654,1.0082581043243408,0.09053321099997902,11.045670301037172,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,12,glass_object,transparent_glass;partial_occlusion,378.0,68.0,468.0,216.0,0.9236427835809916,0.824868119280948,0.9464229941368103,0.09053321099997902,11.045670301037172,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,13,glass_object,transparent_glass;partial_occlusion,236.0,176.0,321.0,339.0,0.9804619587714215,1.0,0.9813636541366577,0.09053321099997902,11.045670301037172,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,14,cable,transparent_glass;partial_occlusion,325.0,283.0,395.0,479.0,0.7527272727272727,0.6145084404449129,0.9526860117912292,0.09053321099997902,11.045670301037172,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,15,robot_gripper,transparent_glass;partial_occlusion,318.0,13.0,455.0,182.0,0.7672637508703083,0.5555862963775652,0.8883084654808044,0.11870921999995214,8.423945503141232,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,16,robot_gripper,transparent_glass;partial_occlusion,322.0,57.0,384.0,266.0,0.4494201605709188,0.579890439562513,0.905592679977417,0.11870921999995214,8.423945503141232,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,17,robot_gripper,transparent_glass;partial_occlusion,351.0,33.0,399.0,198.0,0.4782187802516941,0.6141078838174273,0.47145384550094604,0.11870921999995214,8.423945503141232,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,20,glass_object,partial_occlusion;transparent_glass,361.0,135.0,442.0,247.0,0.827116935483871,0.808390480032271,0.9551835656166077,0.09059065324998983,11.03866639796101,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,21,box,partial_occlusion,98.0,167.0,217.0,277.0,0.9899769380876353,1.0,0.9773510098457336,0.09059065324998983,11.03866639796101,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,22,screw,partial_occlusion;small_parts,221.0,327.0,243.0,349.0,0.9478458049886621,1.0,0.9555500745773315,0.09059065324998983,11.03866639796101,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,23,metal_part,partial_occlusion;reflective_metal,350.0,263.0,446.0,380.0,0.9720049869658847,1.0,0.9781592488288879,0.09059065324998983,11.03866639796101,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,24,box,partial_occlusion,452.0,126.0,579.0,276.0,0.9849032071655591,1.0,0.9838342070579529,0.09132715124997048,10.949646258678447,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,25,metal_part,partial_occlusion;reflective_metal,219.0,196.0,300.0,262.0,0.9653996101364523,1.0,0.9495328664779663,0.09132715124997048,10.949646258678447,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,26,robot_gripper,partial_occlusion,217.0,74.0,442.0,142.0,0.9634967672413793,0.9364012455915214,0.9741361141204834,0.09132715124997048,10.949646258678447,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,27,robot_gripper,partial_occlusion,269.0,53.0,301.0,226.0,0.9314067958081931,0.9500254971953086,0.9357755184173584,0.09132715124997048,10.949646258678447,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,28,robot_gripper,partial_occlusion,356.0,141.0,387.0,197.0,0.8219346888478127,0.7259186397807911,0.9602910280227661,0.337336730999823,2.9643970196667517,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,31,box,small_parts,9.0,227.0,197.0,417.0,0.9629239822035115,0.8967597229471428,0.9715178608894348,0.1716907679999622,5.824424991798162,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,32,cable,small_parts,136.0,0.0,228.0,141.0,0.949796973052787,1.0,0.9782436490058899,0.1716907679999622,5.824424991798162,cuda
