model,prompt_type,split,image_path,instance_id,category,challenge,bbox_x1,bbox_y1,bbox_x2,bbox_y2,iou,boundary_f1,predicted_iou,elapsed_s,fps,device
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,3,metal_part,reflective_metal,512.0,201.0,556.0,286.0,0.955899419729207,0.9963503649635036,0.9558653831481934,0.1614368239999635,6.194373595953709,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,4,tool,reflective_metal,534.0,229.0,585.0,374.0,0.9093938762757758,0.8225867507886435,0.9569662809371948,0.1614368239999635,6.194373595953709,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,5,box,reflective_metal,395.0,149.0,550.0,269.0,0.9800361803850627,0.999129677980853,0.9390513300895691,0.1614368239999635,6.194373595953709,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,6,metal_part,reflective_metal,222.0,122.0,298.0,195.0,0.97671617824167,1.0,0.9921336770057678,0.1614368239999635,6.194373595953709,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,7,metal_part,reflective_metal,161.0,218.0,239.0,339.0,0.9698732867856219,0.9558823529411764,0.9533886313438416,0.11780780633337902,8.488401839604286,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,8,screw,reflective_metal;small_parts,217.0,227.0,232.0,249.0,0.9560975609756097,1.0,0.9340426921844482,0.11780780633337902,8.488401839604286,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000000.png,9,metal_part,reflective_metal,306.0,269.0,378.0,386.0,0.9666352497643732,1.0,0.9702481031417847,0.11780780633337902,8.488401839604286,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,11,connector,transparent_glass;partial_occlusion;small_parts,461.0,112.0,551.0,159.0,0.9057441253263707,0.7876754211636654,1.0082581043243408,0.09056258325000499,11.042087848128437,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,12,glass_object,transparent_glass;partial_occlusion,378.0,68.0,468.0,216.0,0.9236427835809916,0.824868119280948,0.9464229941368103,0.09056258325000499,11.042087848128437,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,13,glass_object,transparent_glass;partial_occlusion,236.0,176.0,321.0,339.0,0.9804619587714215,1.0,0.9813636541366577,0.09056258325000499,11.042087848128437,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,14,cable,transparent_glass;partial_occlusion,325.0,283.0,395.0,479.0,0.7527272727272727,0.6145084404449129,0.9526860117912292,0.09056258325000499,11.042087848128437,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,15,robot_gripper,transparent_glass;partial_occlusion,318.0,13.0,455.0,182.0,0.7672637508703083,0.5555862963775652,0.8883084654808044,0.11816079900002781,8.463043652910342,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,16,robot_gripper,transparent_glass;partial_occlusion,322.0,57.0,384.0,266.0,0.4494201605709188,0.579890439562513,0.905592679977417,0.11816079900002781,8.463043652910342,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000001.png,17,robot_gripper,transparent_glass;partial_occlusion,351.0,33.0,399.0,198.0,0.4782187802516941,0.6141078838174273,0.47145384550094604,0.11816079900002781,8.463043652910342,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,20,glass_object,partial_occlusion;transparent_glass,361.0,135.0,442.0,247.0,0.827116935483871,0.808390480032271,0.9551835656166077,0.09065271700001176,11.031108973820059,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,21,box,partial_occlusion,98.0,167.0,217.0,277.0,0.9899769380876353,1.0,0.9773510098457336,0.09065271700001176,11.031108973820059,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,22,screw,partial_occlusion;small_parts,221.0,327.0,243.0,349.0,0.9478458049886621,1.0,0.9555500745773315,0.09065271700001176,11.031108973820059,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,23,metal_part,partial_occlusion;reflective_metal,350.0,263.0,446.0,380.0,0.9720049869658847,1.0,0.9781592488288879,0.09065271700001176,11.031108973820059,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,24,box,partial_occlusion,452.0,126.0,579.0,276.0,0.9849032071655591,1.0,0.9838342070579529,0.09105968725003777,10.981807978915338,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,25,metal_part,partial_occlusion;reflective_metal,219.0,196.0,300.0,262.0,0.9653996101364523,1.0,0.9495328664779663,0.09105968725003777,10.981807978915338,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,26,robot_gripper,partial_occlusion,217.0,74.0,442.0,142.0,0.9634967672413793,0.9364012455915214,0.9741361141204834,0.09105968725003777,10.981807978915338,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,27,robot_gripper,partial_occlusion,269.0,53.0,301.0,226.0,0.9314067958081931,0.9500254971953086,0.9357755184173584,0.09105968725003777,10.981807978915338,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000002.png,28,robot_gripper,partial_occlusion,356.0,141.0,387.0,197.0,0.8219346888478127,0.7259186397807911,0.9602910280227661,0.33600786900001367,2.9761207765046698,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,31,box,small_parts,9.0,227.0,197.0,417.0,0.9629239822035115,0.8967597229471428,0.9715179204940796,0.09055402525001455,11.043131404032637,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,32,cable,small_parts,136.0,0.0,228.0,141.0,0.949796973052787,1.0,0.9782436490058899,0.09055402525001455,11.043131404032637,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,33,metal_part,small_parts;reflective_metal,243.0,105.0,281.0,189.0,0.9536208299430431,1.0,0.9285274744033813,0.09055402525001455,11.043131404032637,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,34,screw,small_parts,172.0,235.0,185.0,253.0,0.7,0.8281250000000001,0.857450544834137,0.09055402525001455,11.043131404032637,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,35,connector,small_parts,231.0,257.0,299.0,290.0,0.9711627906976744,1.0,0.908600389957428,0.09094197025001449,10.996023038106992,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,36,screw,small_parts,345.0,138.0,370.0,156.0,0.834051724137931,0.9397497296462227,0.9698474407196045,0.09094197025001449,10.996023038106992,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,37,plastic_object,small_parts,179.0,83.0,243.0,155.0,0.969164265129683,1.0,0.9802420735359192,0.09094197025001449,10.996023038106992,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,38,tool,small_parts;reflective_metal,127.0,228.0,197.0,433.0,0.9682844786160499,0.9913413366102657,0.749974250793457,0.09094197025001449,10.996023038106992,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,39,metal_part,small_parts;reflective_metal,445.0,448.0,506.0,479.0,0.9730878186968839,1.0,0.8796761631965637,0.11827372133332877,8.454963526358636,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,40,plastic_object,small_parts,529.0,280.0,590.0,338.0,0.9806286549707602,1.0,0.9584195017814636,0.11827372133332877,8.454963526358636,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000003.png,41,plastic_object,small_parts,84.0,223.0,172.0,289.0,0.5938375350140056,0.7710112538909729,0.8295520544052124,0.11827372133332877,8.454963526358636,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000004.png,44,glass_object,dynamic_scene;transparent_glass;partial_occlusion,441.0,139.0,639.0,431.0,0.9570015797104585,0.7824009553650378,0.9414016008377075,0.09068696299999601,11.026943310473898,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000004.png,45,plastic_object,dynamic_scene;partial_occlusion,163.0,244.0,269.0,343.0,0.9843150159043546,1.0,1.0080654621124268,0.09068696299999601,11.026943310473898,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000004.png,46,plastic_object,dynamic_scene;partial_occlusion,573.0,350.0,639.0,479.0,0.9915418746533555,1.0,0.9839752316474915,0.09068696299999601,11.026943310473898,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000004.png,47,plastic_object,dynamic_scene;partial_occlusion,168.0,153.0,242.0,250.0,0.9707614213197969,1.0,0.9785143136978149,0.09068696299999601,11.026943310473898,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000004.png,48,box,dynamic_scene;partial_occlusion,59.0,130.0,191.0,316.0,0.9811098624712367,1.0,0.9794321656227112,0.09104049949996806,10.98412251132641,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000004.png,49,robot_gripper,dynamic_scene;partial_occlusion,231.0,58.0,510.0,222.0,0.9555734465344361,0.9327063499833039,0.9533969163894653,0.09104049949996806,10.98412251132641,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000004.png,50,robot_gripper,dynamic_scene;partial_occlusion,336.0,177.0,370.0,245.0,0.9489427539969056,1.0,0.9863908886909485,0.09104049949996806,10.98412251132641,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000004.png,51,robot_gripper,dynamic_scene;partial_occlusion,368.0,189.0,439.0,310.0,0.9714623687712554,1.0,0.9827392101287842,0.09104049949996806,10.98412251132641,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000005.png,54,box,reflective_metal;partial_occlusion,275.0,264.0,460.0,446.0,0.9838307932621269,1.0,0.976579487323761,0.09056881399999384,11.041328199352021,cuda
EfficientSAM-Ti,box,train,data/cogar_sim_500_final/rgb/000005.png,55,metal_part,reflective_metal;partial_occlusion,246.0,83.0,285.0,142.0,0.9450607501320655,1.0,0.9626803994178772,0.09056881399999384,11.041328199352021,cuda
