model,prompt_type,split,image_path,instance_id,category,challenge,iou,boundary_f1,elapsed_s,fps,device
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000000.png,3,metal_part,reflective_metal,0.9510280373831775,0.9926739926739927,0.07128182457173741,14.028821596641492,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000000.png,4,tool,reflective_metal,0.7994914638576098,0.5409535452322738,0.07128182457173741,14.028821596641492,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000000.png,5,box,reflective_metal,0.9590712810563865,0.8902334608139734,0.07128182457173741,14.028821596641492,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000000.png,6,metal_part,reflective_metal,0.9655511811023622,1.0,0.07128182457173741,14.028821596641492,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000000.png,7,metal_part,reflective_metal,0.9768305171530978,1.0,0.07128182457173741,14.028821596641492,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000000.png,8,screw,reflective_metal;small_parts,0.8672566371681416,1.0,0.07128182457173741,14.028821596641492,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000000.png,9,metal_part,reflective_metal,0.9721286943509165,0.9633507853403142,0.07128182457173741,14.028821596641492,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000001.png,11,connector,transparent_glass;partial_occlusion;small_parts,0.8926553672316384,0.806619432195412,0.006394195571504367,156.3918383191913,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000001.png,12,glass_object,transparent_glass;partial_occlusion,0.34655349041416655,0.5151123150910086,0.006394195571504367,156.3918383191913,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000001.png,13,glass_object,transparent_glass;partial_occlusion,0.9564661714194425,0.9276995305164318,0.006394195571504367,156.3918383191913,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000001.png,14,cable,transparent_glass;partial_occlusion,0.8520483973678624,0.7983922798737614,0.006394195571504367,156.3918383191913,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000001.png,15,robot_gripper,transparent_glass;partial_occlusion,0.6451900098402137,0.5025220276806714,0.006394195571504367,156.3918383191913,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000001.png,16,robot_gripper,transparent_glass;partial_occlusion,0.2818147766644817,0.3730237126885233,0.006394195571504367,156.3918383191913,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000001.png,17,robot_gripper,transparent_glass;partial_occlusion,0.45524017467248906,0.6426426426426427,0.006394195571504367,156.3918383191913,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000002.png,20,glass_object,partial_occlusion;transparent_glass,0.9327446651949963,0.8512116529509708,0.0051146632225330295,195.5162943269511,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000002.png,21,box,partial_occlusion,0.9609044618969534,0.9024188276312921,0.0051146632225330295,195.5162943269511,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000002.png,22,screw,partial_occlusion;small_parts,0.8622129436325678,0.9540229885057472,0.0051146632225330295,195.5162943269511,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000002.png,23,metal_part,partial_occlusion;reflective_metal,0.9763752953088086,1.0,0.0051146632225330295,195.5162943269511,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000002.png,24,box,partial_occlusion,0.9819088319088319,0.9872261050245561,0.0051146632225330295,195.5162943269511,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000002.png,25,metal_part,partial_occlusion;reflective_metal,0.9428232502965599,1.0,0.0051146632225330295,195.5162943269511,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000002.png,26,robot_gripper,partial_occlusion,0.914595002832148,0.8027380541773899,0.0051146632225330295,195.5162943269511,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000002.png,27,robot_gripper,partial_occlusion,0.6923560868197547,0.7695035460992907,0.0051146632225330295,195.5162943269511,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000002.png,28,robot_gripper,partial_occlusion,0.7964763061968408,0.7184364235435075,0.0051146632225330295,195.5162943269511,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000003.png,31,box,small_parts,0.9555294348124204,0.8435552402088988,0.02293356349946407,43.604213537218875,cuda
FastSAM-S,auto,train,data/cogar_sim_500_final/rgb/000003.png,32,cable,small_parts,0.9256780556533991,0.9866666666666666,0.02293356349946407,43.604213537218875,cuda
