model,prompt_type,split,image_path,instance_id,category,challenge,iou,boundary_f1,predicted_iou,elapsed_s,fps,device,num_generated_masks
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,3,metal_part,reflective_metal,0.9774292272379494,0.9945155393053016,0.92873615026474,0.5858254174288179,1.7069931932775986,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,4,tool,reflective_metal,0.9252571908461054,0.8970666360360102,0.9174149036407471,0.5858254174288179,1.7069931932775986,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,5,box,reflective_metal,0.9741473792792212,1.0,0.941002368927002,0.5858254174288179,1.7069931932775986,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,6,metal_part,reflective_metal,0.977029702970297,1.0,0.9808563590049744,0.5858254174288179,1.7069931932775986,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,7,metal_part,reflective_metal,0.9875324675324675,1.0,0.9673936367034912,0.5858254174288179,1.7069931932775986,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,8,screw,reflective_metal;small_parts,0.0008960573476702509,0.15184381778741868,0.9673936367034912,0.5858254174288179,1.7069931932775986,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,9,metal_part,reflective_metal,0.9791274915381722,1.0,0.9491795897483826,0.5858254174288179,1.7069931932775986,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,11,connector,transparent_glass;partial_occlusion;small_parts,0.9155342392752465,0.7723376638563093,0.9551710486412048,0.5460315204285767,1.831396105512565,cuda,9
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,12,glass_object,transparent_glass;partial_occlusion,0.013043478260869565,0.10093363613424174,0.9551710486412048,0.5460315204285767,1.831396105512565,cuda,9
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,13,glass_object,transparent_glass;partial_occlusion,0.9912469033856317,1.0,0.9746948480606079,0.5460315204285767,1.831396105512565,cuda,9
