model,prompt_type,split,image_path,instance_id,category,challenge,iou,boundary_f1,predicted_iou,elapsed_s,fps,device
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000000.png,3,metal_part,reflective_metal,0.9819230769230769,1.0,0.9425297379493713,0.13960897057196625,7.162863502990415,cuda
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000000.png,4,tool,reflective_metal,0.940180102915952,0.9484669311525982,0.9405921697616577,0.10051908757096888,9.94835930334103,cuda
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000000.png,5,box,reflective_metal,0.9748675539475384,0.996512617733476,0.9769231081008911,0.10080184956833753,9.920452891313872,cuda
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000000.png,6,metal_part,reflective_metal,0.9790618079323535,0.9833333333333333,0.9628593921661377,0.10103424557538736,9.897634156666648,cuda
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000000.png,7,metal_part,reflective_metal,0.9837683417737956,0.9949238578680203,0.9715562462806702,0.09888196757466565,10.11306737241956,cuda
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000000.png,8,screw,reflective_metal;small_parts,0.9138755980861244,1.0,0.8838722705841064,0.09930232956477474,10.070257207286378,cuda
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000000.png,9,metal_part,reflective_metal,0.9868024132730016,1.0,0.9765716791152954,0.09903817657115203,10.097116431475994,cuda
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000001.png,11,connector,transparent_glass;partial_occlusion;small_parts,0.9704807421984819,1.0,0.947748601436615,0.07730100942821341,12.936441676465597,cuda
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000001.png,12,glass_object,transparent_glass;partial_occlusion,0.9630335924893648,0.9757792539601431,0.9553552865982056,0.07770439142872679,12.869285527025012,cuda
SAM2.1-Tiny,box,train,data/cogar_sim_500_final/rgb/000001.png,13,glass_object,transparent_glass;partial_occlusion,0.9902155887230514,1.0,0.9841946363449097,0.07738628742767364,12.922186000131026,cuda
