model,prompt_type,split,image_path,instance_id,category,challenge,iou,boundary_f1,predicted_iou,elapsed_s,fps,device
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000000.png,3,metal_part,reflective_metal,0.9719984656693518,0.9908256880733944,0.9102124571800232,0.1513986317139435,6.605079508838799,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000000.png,4,tool,reflective_metal,0.9438009438009438,0.9767964973824093,0.8836894035339355,0.10358905871440324,9.653529170074,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000000.png,5,box,reflective_metal,0.9766511867905057,0.9982668768880812,0.9481044411659241,0.10345461971051659,9.66607390562324,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000000.png,6,metal_part,reflective_metal,0.9762564305500594,1.0,0.9810851812362671,0.10336870771321369,9.674107591384441,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000000.png,7,metal_part,reflective_metal,0.9892319667877529,1.0,0.9417163729667664,0.10158213271539093,9.844250886145137,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000000.png,8,screw,reflective_metal;small_parts,0.9405940594059405,0.972972972972973,0.8056591749191284,0.10187381871842913,9.816064741461375,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000000.png,9,metal_part,reflective_metal,0.9815962441314554,1.0,0.9610509276390076,0.10307361771888932,9.701803644141808,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000001.png,11,connector,transparent_glass;partial_occlusion;small_parts,0.9088983050847458,0.773125261955205,0.9518412947654724,0.07208555242998825,13.872405305782062,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000001.png,12,glass_object,transparent_glass;partial_occlusion,0.7259629520729197,0.5301792262796343,0.7443482875823975,0.07156584543138576,13.973145904616704,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000001.png,13,glass_object,transparent_glass;partial_occlusion,0.9919894293500702,1.0,0.9742327928543091,0.07256054743213879,13.781593929335163,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000001.png,14,cable,transparent_glass;partial_occlusion,0.959902794653706,1.0,0.916564404964447,0.0715987254256366,13.966729073111972,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000001.png,15,robot_gripper,transparent_glass;partial_occlusion,0.6710814627258119,0.5428459241348667,0.8673158884048462,0.07161492642938226,13.96356946601175,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000001.png,16,robot_gripper,transparent_glass;partial_occlusion,0.7286149895682876,0.7058344699183823,0.3508860170841217,0.0718934944265389,13.909464381673706,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000001.png,17,robot_gripper,transparent_glass;partial_occlusion,0.35384615384615387,0.3710228919153869,0.08484428375959396,0.07179951342862166,13.927670986156947,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000002.png,20,glass_object,partial_occlusion;transparent_glass,0.9699551569506727,0.9470967741935483,0.8959647417068481,0.05729759844851085,17.452738458115775,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000002.png,21,box,partial_occlusion,0.9861783607711947,1.0,0.9798480868339539,0.05832158443970709,17.146310574497523,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000002.png,22,screw,partial_occlusion;small_parts,0.9558139534883721,1.0,0.8409433364868164,0.0575962944438086,17.362228067911694,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000002.png,23,metal_part,partial_occlusion;reflective_metal,0.9871230091494408,1.0,0.9872825145721436,0.05694209744413254,17.561699426002484,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000002.png,24,box,partial_occlusion,0.9866119628589938,1.0,0.9786705374717712,0.056934613445062295,17.56400789415961,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000002.png,25,metal_part,partial_occlusion;reflective_metal,0.9633672974284327,0.9813127085372036,0.9633471369743347,0.05688372044258156,17.57972214580093,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000002.png,26,robot_gripper,partial_occlusion,0.9642832937987122,0.9364984500693623,0.7089629173278809,0.057011752449195936,17.540243143571416,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000002.png,27,robot_gripper,partial_occlusion,0.2392696989109545,0.4444444444444444,0.7316561937332153,0.05729068744565464,17.454843790251072,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000002.png,28,robot_gripper,partial_occlusion,0.9140083217753121,1.0,0.944668710231781,0.057023802439087175,17.536536625529312,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000003.png,31,box,small_parts,0.9628728227153424,0.8729907022817034,0.9502735137939453,0.04918878918198805,20.329835652189217,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000003.png,32,cable,small_parts,0.9632459970887919,1.0,0.9671758413314819,0.04958342718402326,20.16802905310707,cuda
SAM2.1-Tiny,point,train,data/cogar_sim_500_final/rgb/000003.png,33,metal_part,small_parts;reflective_metal,0.9373522458628841,0.9582504970178927,0.823877215385437,0.04977517518074654,20.09033612375529,cuda
