,,iou,iou,iou,iou,iou,iou,boundary_f1,boundary_f1,sam_score,sam_score,latency_sec,latency_sec,fps,fps
,,count,mean,median,min,max,std,mean,median,mean,median,mean,median,mean,median
prompt,challenge_primary,,,,,,,,,,,,,,
auto,dynamic_scene,74,0.843848426977147,0.9650534290353008,0.0,0.9894025698768047,0.28536775215116594,0.8800826769788538,1.0,0.978759658497733,0.9826644659042358,,,,
auto,partial_occlusion,74,0.6810407210245661,0.8746704576573165,0.0,0.985984998026056,0.3641405814124122,0.7282530757224274,0.8577512189619082,0.9509309667187769,0.9510528445243835,,,,
auto,reflective_metal,64,0.8065281793917104,0.9438734057831092,0.0003952256738597,0.9928051001821494,0.3025153077309401,0.8506131252625315,0.9913524188541207,0.9658992690965533,0.9717444181442261,,,,
auto,small_parts,114,0.710564143891237,0.9089935897435897,0.0,0.9880560397701594,0.3515603959991397,0.7967631230035063,0.9938250428816466,0.9556661075667331,0.9572185277938843,,,,
auto,transparent_glass,34,0.7503985568499499,0.9261138369648536,0.0,0.9904087455739284,0.3160910751068003,0.7679187228584997,0.916252247432653,0.962494539863923,0.9693055748939514,,,,
box,dynamic_scene,74,0.9153176365452659,0.96594541974864,0.2951984321411073,0.989522700814901,0.12561934351939683,0.959155998471578,1.0,0.9611580315473918,0.9788902997970581,0.019846190135117295,0.0120304404999842,78.91056137842779,83.12247702493985
box,partial_occlusion,74,0.8635975337320868,0.9376038738013583,0.01931330472103,0.9873417721518988,0.18315438562002664,0.893440422860957,0.9603445831020547,0.9314190109033842,0.9659335315227509,0.01984296929730266,0.0120082064997859,79.00464158325097,83.27638276168322
box,reflective_metal,64,0.9149905002154873,0.9529742793760144,0.091533180778032,0.9927461956950248,0.12327950438073415,0.9513565442627961,0.9964382576886575,0.9619605112820864,0.971467912197113,0.019562627843740146,0.01204039499975805,78.00178435576503,83.05375365580456
box,small_parts,114,0.8837739311481598,0.9320633484162897,0.1873111782477341,0.9873574144486692,0.1367086130945452,0.9660968624340325,1.0,0.9439291201139751,0.9593919515609741,0.017217099140360983,0.0120610194999244,79.83260110040062,82.91173398858228
box,transparent_glass,34,0.8504717340288223,0.9471637731120673,0.2425149700598802,0.9919958599275488,0.19777143024680693,0.8558370698150961,0.9373514894876049,0.9430061946896946,0.9715822339057922,0.020701645882341146,0.01206889249988305,77.77247016075397,82.85764433509596
point,dynamic_scene,74,0.858586979053152,0.9598320540631922,0.0667346298619824,0.9895308259015122,0.21574110624169973,0.8877280307176952,1.0,0.913669592625386,0.9356554448604584,0.02053217736487858,0.01264321000007835,75.09667767279676,79.09384422147411
point,partial_occlusion,74,0.7446419147384097,0.8514801406857195,0.0075946052114704,0.989344909234412,0.2688731444313761,0.7535636236991458,0.8524917060775039,0.8526712349943213,0.8793768882751465,0.02067754089187076,0.01273512300008405,73.92676086297965,78.52299514485188
point,reflective_metal,64,0.873665599743832,0.9312047795997012,0.0881210174584261,0.9877309007981756,0.15490012830635877,0.8834215364548217,0.9384076178435542,0.9024711353704333,0.9150261878967285,0.021333368781277735,0.0126376450000407,74.23934614123749,79.12866696132103
point,small_parts,114,0.7756252216298584,0.8844820815550448,0.0224475018102824,0.9873122980421972,0.2305230423201921,0.8595443547010505,0.9826602982701462,0.8752073682191079,0.8885749280452728,0.01775762356141325,0.01266123750019685,76.39673613519335,78.98122216511415
point,transparent_glass,34,0.7289011500386515,0.8670477429748737,0.0090997892139221,0.990268815349046,0.29150436021824727,0.7030473863105577,0.7562017248269433,0.8619292869287378,0.8948229253292084,0.021213193000020843,0.0126664040001287,74.33760989142095,78.94902591851705
