dataset,model,prompt_mode,status,records,instances,mIoU,boundary_f1,mask_AP,mask_AP50,mask_AP75,elapsed_s,metrics_file
isaac_official_unitree_g1,sam_vit_h,point,ok,72695,72695,0.5738850866510774,0.6569892724541052,0.533635982248893,0.6632744126338047,0.5455311787732522,1793.5284323369851,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_h/point_metrics.json
isaac_official_unitree_g1,sam_vit_h,box,ok,72695,72695,0.7520193025677744,0.8744340552417512,0.6778063539430256,0.8518658203628238,0.6967960116031591,1616.257173416001,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_h/box_metrics.json
isaac_official_unitree_g1,sam_vit_h,automatic,ok,1000,72695,0.48622915281592644,0.5398744324018623,0.2764753068593684,0.33035307048518747,0.28328134013844886,1622.3688061359862,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_h/automatic_metrics.json
isaac_official_unitree_g1,sam_vit_b,point,ok,72695,72695,0.602380797003478,0.6835315690456025,0.546541253183804,0.7026216774834111,0.5653040684208747,1610.5226837169903,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_b/point_metrics.json
isaac_official_unitree_g1,sam_vit_b,box,ok,72695,72695,0.7420632008595545,0.86246704808171,0.6478484391050595,0.8415484142363654,0.6581961620245849,1677.9543838850223,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_b/box_metrics.json
isaac_official_unitree_g1,sam_vit_b,automatic,ok,1000,72695,0.38878916651290735,0.426293601706924,0.23180374016092023,0.2806991008101907,0.2376327542241688,936.9127135490126,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_b/automatic_metrics.json
isaac_official_unitree_g1,sam2_hiera_large,point,ok,72695,72695,0.5951802368075687,0.6746888059517623,0.5643031303045325,0.7141287331904884,0.5845032765289965,713.7105929389945,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam2_hiera_large/point_metrics.json
isaac_official_unitree_g1,sam2_hiera_large,box,ok,72695,72695,0.7136975551514932,0.8231087158810155,0.6295658291065114,0.8337564136917861,0.6447486274555452,716.3807874180202,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam2_hiera_large/box_metrics.json
isaac_official_unitree_g1,sam2_hiera_large,automatic,ok,1000,72695,0.38112333984406294,0.4204189834068216,0.2396245809317467,0.276211647437008,0.24733558045194587,737.4940731669776,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam2_hiera_large/automatic_metrics.json
isaac_official_unitree_g1,fastsam_x,point,ok,72695,72695,0.38288829714869455,0.445553878945566,0.20728682776590868,0.3088710653346868,0.20819569615164638,690.3561348399962,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/fastsam_x/point_metrics.json
isaac_official_unitree_g1,fastsam_x,box,ok,72695,72695,0.4839182573045611,0.5715445843335835,0.3403384715476681,0.46047744157137294,0.3709688448139046,728.6210179030022,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/fastsam_x/box_metrics.json
isaac_official_unitree_g1,fastsam_x,automatic,ok,1000,72695,0.523164727480969,0.5998681645305536,0.2563159336355923,0.38777976190653857,0.27420589173522836,731.776532031974,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/fastsam_x/automatic_metrics.json
blenderproc_cogar_sim,sam_vit_h,point,ok,8768,8768,0.8041563802744292,0.7934316161517831,0.6488879555992233,0.8356090555383239,0.6433865170342044,34.423416274017654,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_h/point_metrics.json
blenderproc_cogar_sim,sam_vit_h,box,ok,8768,8768,0.9226009719268821,0.9053142995607248,0.8679466984608216,0.966874439172164,0.9055139576310633,34.258422193001024,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_h/box_metrics.json
blenderproc_cogar_sim,sam_vit_h,automatic,ok,1000,8768,0.8780589809430633,0.8545704717526055,0.5811973987705658,0.6793105314210933,0.5871680399731383,37.70316016400466,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_h/automatic_metrics.json
blenderproc_cogar_sim,sam_vit_b,point,ok,8768,8768,0.7882136480852923,0.7683178722276102,0.6345668023258466,0.8341329744363202,0.6337114838393647,34.08649012199021,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_b/point_metrics.json
blenderproc_cogar_sim,sam_vit_b,box,ok,8768,8768,0.9043447232020829,0.8746835287336302,0.8165000009842953,0.9509921816532116,0.8510267979716495,34.267141979013104,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_b/box_metrics.json
blenderproc_cogar_sim,sam_vit_b,automatic,ok,1000,8768,0.8150274378259081,0.793094070548309,0.49843887353029354,0.591415569627724,0.5014765178963158,40.31152205399121,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam_vit_b/automatic_metrics.json
blenderproc_cogar_sim,sam2_hiera_large,point,ok,8768,8768,0.827318364394468,0.822151141728766,0.7510721480435437,0.8899820149974988,0.7776358345412229,38.20702778399573,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam2_hiera_large/point_metrics.json
blenderproc_cogar_sim,sam2_hiera_large,box,ok,8768,8768,0.9190885368051233,0.8898332758362066,0.864104893122799,0.9731603229469638,0.916796863674941,37.4714544909948,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam2_hiera_large/box_metrics.json
blenderproc_cogar_sim,sam2_hiera_large,automatic,ok,1000,8768,0.8018799442904379,0.79348218977422,0.5754954930922115,0.6535906852307507,0.588502531527928,37.687866569991456,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/sam2_hiera_large/automatic_metrics.json
blenderproc_cogar_sim,fastsam_x,point,ok,8768,8768,0.32534516800914215,0.32512191842284094,0.08288624400864802,0.12371092308070558,0.08322212584953197,35.54528331500478,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/fastsam_x/point_metrics.json
blenderproc_cogar_sim,fastsam_x,box,ok,8768,8768,0.7481621436264929,0.7734238949714399,0.5319313001881917,0.6803482949320553,0.5537881870934604,36.096086409990676,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/fastsam_x/box_metrics.json
blenderproc_cogar_sim,fastsam_x,automatic,ok,1000,8768,0.7988317178132487,0.8098347464377988,0.36056264847048786,0.47907528778360176,0.38469113741623284,37.894300450978335,outputs/task6_evaluation/zero_shot/blenderproc_cogar_sim/fastsam_x/automatic_metrics.json
ocid,sam_vit_h,point,ok,21487,21487,0.6646683849177094,0.6318061573507465,0.4618769361482581,0.6412291263155173,0.5674289579232772,84.96793545800028,outputs/task6_evaluation/zero_shot/ocid/sam_vit_h/point_metrics.json
ocid,sam_vit_h,box,ok,21487,21487,0.8452409639470332,0.7754535484397148,0.7329317485857256,0.9593915686710908,0.8674249104305994,87.31763020099606,outputs/task6_evaluation/zero_shot/ocid/sam_vit_h/box_metrics.json
ocid,sam_vit_h,automatic,ok,2390,21487,0.8382905606713064,0.7762349661080024,0.3961026495928901,0.5348531452549238,0.4808314326635168,112.75035682899761,outputs/task6_evaluation/zero_shot/ocid/sam_vit_h/automatic_metrics.json
ocid,sam_vit_b,point,ok,21487,21487,0.6160080035250245,0.5710157578748937,0.3927799430641681,0.5917572418463385,0.47237652275732167,82.27419648101204,outputs/task6_evaluation/zero_shot/ocid/sam_vit_b/point_metrics.json
ocid,sam_vit_b,box,ok,21487,21487,0.8339219829882085,0.7514250642879597,0.7141484734574121,0.9489438937931162,0.8592984468723077,83.86595264900825,outputs/task6_evaluation/zero_shot/ocid/sam_vit_b/box_metrics.json
ocid,sam_vit_b,automatic,ok,2390,21487,0.7305978965807334,0.6764823544850559,0.24102160492036337,0.33437821603507617,0.29975448845638397,98.04944338198402,outputs/task6_evaluation/zero_shot/ocid/sam_vit_b/automatic_metrics.json
ocid,sam2_hiera_large,point,ok,21487,21487,0.7585420059070903,0.737490971945824,0.612397057775292,0.7895222393615046,0.7301382470461102,83.33515075000469,outputs/task6_evaluation/zero_shot/ocid/sam2_hiera_large/point_metrics.json
ocid,sam2_hiera_large,box,ok,21487,21487,0.8659770273605177,0.7872642061143948,0.7756979963789858,0.9694568004367208,0.9049055174932888,91.68238661100622,outputs/task6_evaluation/zero_shot/ocid/sam2_hiera_large/box_metrics.json
ocid,sam2_hiera_large,automatic,ok,2390,21487,0.7938377895836044,0.7483256512304591,0.45985307308277434,0.5874032756466505,0.55882790539536,96.54308047800441,outputs/task6_evaluation/zero_shot/ocid/sam2_hiera_large/automatic_metrics.json
ocid,fastsam_x,point,ok,21487,21487,0.4848588969528927,0.4591698757723701,0.20296410767763065,0.30591702581846897,0.23260385149886995,83.0464086169959,outputs/task6_evaluation/zero_shot/ocid/fastsam_x/point_metrics.json
ocid,fastsam_x,box,ok,21487,21487,0.7643104971739735,0.7373700285300642,0.5378681346795664,0.7520132504968448,0.6375061510444352,82.21816552701057,outputs/task6_evaluation/zero_shot/ocid/fastsam_x/box_metrics.json
ocid,fastsam_x,automatic,ok,2390,21487,0.7982308704892809,0.7489893482313883,0.15604622409888733,0.2184885382183562,0.18361158130776145,91.65068885299843,outputs/task6_evaluation/zero_shot/ocid/fastsam_x/automatic_metrics.json
