run_type,dataset,model,prompt_mode,evaluation_type,category,iou,boundary_f1,count
baseline,isaac_official_unitree_g1,deeplabv3plus,inference,semantic_segmentation,rubber_part,0.011708825803601016,0.03062148545446858,
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,rubber_part,0.02226545369874483,0.03915921799570278,95
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,robot,0.05331056355617643,0.09931460942290501,19242
zero_shot,isaac_official_unitree_g1,fastsam_x,point,prompted_instance,robot,0.06254792772388122,0.12092414029921343,19242
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,automatic_class_agnostic_proposal,robot,0.08300615361756934,0.13502540758293738,19242
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,automatic_class_agnostic_proposal,cable,0.13468769682603832,0.1979258042513012,3453
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,sensor_module,0.14949767357968047,0.16836688035372557,68
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,automatic_class_agnostic_proposal,screw,0.1501521610085368,0.2141299993949706,7898
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,cable,0.1522634027233582,0.23672657179089054,3453
zero_shot,isaac_official_unitree_g1,fastsam_x,box,prompted_instance,robot,0.15468988588777785,0.24920280169889733,19242
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,automatic_class_agnostic_proposal,robot,0.1565891982646284,0.2302317865463162,19242
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,automatic_class_agnostic_proposal,robot,0.15794312631246865,0.24541378667513633,19242
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,screw,0.17860712979481091,0.24906327035909456,7898
zero_shot,blenderproc_cogar_sim,fastsam_x,point,prompted_instance,robot_gripper,0.19197224176296118,0.22799154616646924,1633
zero_shot,blenderproc_cogar_sim,fastsam_x,point,prompted_instance,screw,0.2008454485776789,0.23891934864416411,674
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,prompted_instance,robot,0.21215787579338324,0.30658592803529094,19242
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,prompted_instance,robot,0.2224354427516301,0.3254208179810361,19242
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,tool,0.22257220767152816,0.2641968263690022,85
baseline,isaac_official_unitree_g1,deeplabv3plus,inference,semantic_segmentation,screw,0.2303289726818007,0.48311969607874855,
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,automatic_class_agnostic_proposal,screw,0.2339063864805145,0.3280481429501566,7898
baseline,isaac_official_unitree_g1,yolo8_seg,inference,instance_segmentation,cable,0.24430825084283275,0.3937009762541489,153
zero_shot,blenderproc_cogar_sim,fastsam_x,point,prompted_instance,tool,0.24947386856846065,0.2994763428319969,500
zero_shot,blenderproc_cogar_sim,fastsam_x,point,prompted_instance,metal_part,0.2526289237559949,0.2783169717757086,869
zero_shot,blenderproc_cogar_sim,fastsam_x,point,prompted_instance,connector,0.2581420268950227,0.28933450807566874,786
baseline,blenderproc_cogar_sim,deeplabv3plus,inference,semantic_segmentation,screw,0.2622191336576326,0.22267510687618325,
zero_shot,isaac_official_unitree_g1,fastsam_x,point,prompted_instance,screw,0.2750880797524084,0.3883263716211589,7898
zero_shot,isaac_official_unitree_g1,fastsam_x,point,prompted_instance,cable,0.2770055839939862,0.45694202765798025,3453
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,prompted_instance,robot,0.27808921939540204,0.39692871355978504,19242
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,automatic_class_agnostic_proposal,cable,0.27854703893371013,0.39161460618095256,3453
zero_shot,blenderproc_cogar_sim,fastsam_x,point,prompted_instance,cable,0.2854439238826488,0.3688111764478098,408
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,automatic_class_agnostic_proposal,rubber_part,0.2897498261311048,0.3578770910102603,1707
