run_type,dataset,model,prompt_mode,challenge_group,categories,weighted_iou,mean_iou,mean_boundary_f1,category_count,instance_count
zero_shot,isaac_official_unitree_g1,fastsam_x,point,robot_and_occlusion,"moving_object, occluder, robot",0.17397393578300324,0.5222798666789809,0.5764792779122426,3,23007
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,robot_and_occlusion,"moving_object, occluder, robot",0.18105428630740142,0.57379734278109,0.6111207268108748,3,23007
zero_shot,blenderproc_cogar_sim,fastsam_x,point,robot_and_occlusion,robot_gripper,0.19197224176296118,0.19197224176296118,0.22799154616646924,1,1633
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,robot_and_occlusion,"moving_object, occluder, robot",0.2086784143313221,0.5930229781971126,0.6294153433565676,3,23007
zero_shot,blenderproc_cogar_sim,fastsam_x,point,small_parts_thin_structures,"cable, connector, screw, tool",0.24470756786705847,0.24847631698095277,0.2991353439999099,4,2368
zero_shot,isaac_official_unitree_g1,fastsam_x,box,robot_and_occlusion,"moving_object, occluder, robot",0.2689143580223882,0.6232647806744717,0.6897048385825849,3,23007
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,robot_and_occlusion,"moving_object, occluder, robot",0.27568448041308363,0.6390912602950725,0.6814180772250774,3,23007
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,robot_and_occlusion,"moving_object, occluder, robot",0.27767689857606564,0.6453809790783037,0.7028852651337255,3,23007
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.27797921261240954,0.3173697290819364,0.3827758403710877,6,22014
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,small_parts_thin_structures,"cable, connector, rubber_part, screw, sensor_module, tool",0.29485096448788506,0.3278007219543722,0.4007948996642405,6,22014
