dataset,model,point_mIoU,box_mIoU,automatic_mIoU,box_minus_point,automatic_minus_box
blenderproc_cogar_sim,fastsam_x,0.32534516800914215,0.7481621436264929,0.7988317178132487,0.42281697561735077,0.05066957418675577
blenderproc_cogar_sim,sam2_hiera_large,0.827318364394468,0.9190885368051233,0.8018799442904379,0.09177017241065522,-0.1172085925146854
blenderproc_cogar_sim,sam_vit_b,0.7882136480852923,0.9043447232020829,0.8150274378259081,0.11613107511679066,-0.08931728537617478
blenderproc_cogar_sim,sam_vit_h,0.8041563802744292,0.9226009719268821,0.8780589809430633,0.11844459165245291,-0.044541990983818724
isaac_official_unitree_g1,fastsam_x,0.38288829714869455,0.4839182573045611,0.523164727480969,0.10102996015586657,0.039246470176407866
isaac_official_unitree_g1,sam2_hiera_large,0.5951802368075687,0.7136975551514932,0.38112333984406294,0.11851731834392454,-0.3325742153074303
isaac_official_unitree_g1,sam_vit_b,0.602380797003478,0.7420632008595545,0.38878916651290735,0.13968240385607644,-0.3532740343466471
isaac_official_unitree_g1,sam_vit_h,0.5738850866510774,0.7520193025677744,0.48622915281592644,0.17813421591669698,-0.26579014975184795
ocid,fastsam_x,0.4848588969528927,0.7643104971739735,0.7982308704892809,0.2794516002210808,0.033920373315307395
ocid,sam2_hiera_large,0.7585420059070903,0.8659770273605177,0.7938377895836044,0.10743502145342743,-0.07213923777691333
ocid,sam_vit_b,0.6160080035250245,0.8339219829882085,0.7305978965807334,0.21791397946318403,-0.10332408640747515
ocid,sam_vit_h,0.6646683849177094,0.8452409639470332,0.8382905606713064,0.18057257902932378,-0.006950403275726824
