dataset,model,model_family,prompt_mode,device,status,sample_images,warmup_units,timed_units,fps,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_min_ms,latency_max_ms,output_count_mean,elapsed_wall_s,metrics_file,error
isaac_official_unitree_g1,mobile_sam_vit_t,zero_shot,point,cuda,ok,50,3,50,16.836411910606394,59.39507807896007,59.1673054950661,60.075478805811144,58.47163900034502,66.97002600412816,3.0,16.029569270001957,outputs/task9_lightweight_sam/inference_speed/cuda/isaac_official_unitree_g1/mobile_sam_vit_t/point_speed.json,
isaac_official_unitree_g1,mobile_sam_vit_t,zero_shot,box,cuda,ok,50,3,50,16.89468795704245,59.19020241999533,58.802197498152964,59.82640109723434,58.05560600128956,69.5663430087734,3.0,4.974940660991706,outputs/task9_lightweight_sam/inference_speed/cuda/isaac_official_unitree_g1/mobile_sam_vit_t/box_speed.json,
isaac_official_unitree_g1,mobile_sam_vit_t,zero_shot,automatic,cuda,ok,20,3,20,0.2174335818640833,4599.105581699405,4579.202576496755,4927.297878406534,4334.4015539914835,5054.603851996944,58.35,106.49966228299309,outputs/task9_lightweight_sam/inference_speed/cuda/isaac_official_unitree_g1/mobile_sam_vit_t/automatic_speed.json,
isaac_official_unitree_g1,efficient_sam_ti,zero_shot,point,cuda,ok,50,3,50,8.135888792139685,122.91220118029742,123.12615550035844,124.19788959741709,120.27253999258392,124.5508720021462,3.0,8.282128930004546,outputs/task9_lightweight_sam/inference_speed/cuda/isaac_official_unitree_g1/efficient_sam_ti/point_speed.json,
isaac_official_unitree_g1,efficient_sam_ti,zero_shot,box,cuda,ok,50,3,50,8.587645172342091,116.44635752076283,116.34340699674794,117.67641605329118,115.20213000767399,118.14416100969538,3.0,7.629774170010933,outputs/task9_lightweight_sam/inference_speed/cuda/isaac_official_unitree_g1/efficient_sam_ti/box_speed.json,
isaac_official_unitree_g1,efficient_sam_ti,zero_shot,automatic,cuda,ok,20,3,20,1.8505489642782424,540.3801895023207,541.504998000164,555.4421175074822,520.1746960083256,568.2157130067935,64.0,13.136105370998848,outputs/task9_lightweight_sam/inference_speed/cuda/isaac_official_unitree_g1/efficient_sam_ti/automatic_speed.json,
isaac_official_unitree_g1,efficient_sam_s,zero_shot,point,cuda,ok,50,3,50,4.22439181561588,236.72046619903995,236.6679274928174,238.94903730542865,234.39758800668642,239.91182800091337,3.0,14.532777950997115,outputs/task9_lightweight_sam/inference_speed/cuda/isaac_official_unitree_g1/efficient_sam_s/point_speed.json,
isaac_official_unitree_g1,efficient_sam_s,zero_shot,box,cuda,ok,50,3,50,4.211757346668506,237.43058246007422,237.45592500199564,239.24243594738073,235.13912899943534,239.45270299736876,3.0,14.200217845995212,outputs/task9_lightweight_sam/inference_speed/cuda/isaac_official_unitree_g1/efficient_sam_s/box_speed.json,
isaac_official_unitree_g1,efficient_sam_s,zero_shot,automatic,cuda,ok,20,3,20,1.4346256141460592,697.0459680487693,698.0943290036521,711.6898594489612,682.1545499988133,713.6936269962462,64.0,16.890608405010425,outputs/task9_lightweight_sam/inference_speed/cuda/isaac_official_unitree_g1/efficient_sam_s/automatic_speed.json,
blenderproc_cogar_sim,mobile_sam_vit_t,zero_shot,point,cuda,ok,50,3,50,15.617816721903928,64.02943623979809,63.978890000726096,64.8199252973427,63.235851004719734,65.24443600210361,3.0,4.110459612988052,outputs/task9_lightweight_sam/inference_speed/cuda/blenderproc_cogar_sim/mobile_sam_vit_t/point_speed.json,
