dataset,model,model_group,prompt_mode,status,evaluation_type,mIoU,boundary_f1,mask_AP,mask_AP50,mask_AP75,quality_metrics_file
isaac_official_unitree_g1,mobile_sam_vit_t,lightweight_sam,point,ok,zero_shot,0.5163515736979809,0.5984705244977367,0.3914736396846011,0.5518040718903617,0.3931486681904564,outputs/task9_lightweight_sam/evaluation/zero_shot/isaac_official_unitree_g1/mobile_sam_vit_t/point_metrics.json
isaac_official_unitree_g1,mobile_sam_vit_t,lightweight_sam,box,ok,zero_shot,0.6925852020345012,0.8210675122169974,0.5595626730737662,0.7880432541353167,0.5674482123217728,outputs/task9_lightweight_sam/evaluation/zero_shot/isaac_official_unitree_g1/mobile_sam_vit_t/box_metrics.json
isaac_official_unitree_g1,mobile_sam_vit_t,lightweight_sam,automatic,ok,zero_shot,0.4208394857606574,0.47228421194066794,0.2069815779727984,0.2830873700152573,0.20858164003498178,outputs/task9_lightweight_sam/evaluation/zero_shot/isaac_official_unitree_g1/mobile_sam_vit_t/automatic_metrics.json
isaac_official_unitree_g1,efficient_sam_ti,lightweight_sam,point,ok,zero_shot,0.6031162303287844,0.6879132099513083,0.5099790230522836,0.6971924699957422,0.53249303829423,outputs/task9_lightweight_sam/evaluation/zero_shot/isaac_official_unitree_g1/efficient_sam_ti/point_metrics.json
isaac_official_unitree_g1,efficient_sam_ti,lightweight_sam,box,ok,zero_shot,0.725584813946962,0.8493492578574419,0.6276241811357607,0.8319340928554124,0.6513112410150949,outputs/task9_lightweight_sam/evaluation/zero_shot/isaac_official_unitree_g1/efficient_sam_ti/box_metrics.json
isaac_official_unitree_g1,efficient_sam_ti,lightweight_sam,automatic,ok,zero_shot,0.024609736621030713,0.009552617036261254,8.012028829236452e-05,0.0004714757190004715,1.1780581948967696e-06,outputs/task9_lightweight_sam/evaluation/zero_shot/isaac_official_unitree_g1/efficient_sam_ti/automatic_metrics.json
isaac_official_unitree_g1,efficient_sam_s,lightweight_sam,point,ok,zero_shot,0.6003834057749373,0.6798424443807882,0.558467038562505,0.7245362770251133,0.587795295803082,outputs/task9_lightweight_sam/evaluation/zero_shot/isaac_official_unitree_g1/efficient_sam_s/point_metrics.json
isaac_official_unitree_g1,efficient_sam_s,lightweight_sam,box,ok,zero_shot,0.7321609741016039,0.8584901980277101,0.6413249727601277,0.8333119992408443,0.6609688007902221,outputs/task9_lightweight_sam/evaluation/zero_shot/isaac_official_unitree_g1/efficient_sam_s/box_metrics.json
isaac_official_unitree_g1,efficient_sam_s,lightweight_sam,automatic,ok,zero_shot,0.028171585114581232,0.007689717148631389,2.080816526696343e-06,1.699716060991574e-05,0.0,outputs/task9_lightweight_sam/evaluation/zero_shot/isaac_official_unitree_g1/efficient_sam_s/automatic_metrics.json
blenderproc_cogar_sim,mobile_sam_vit_t,lightweight_sam,point,ok,zero_shot,0.7399298711053601,0.7413472190728804,0.5201443042289778,0.7581041014632027,0.49734312319739366,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/mobile_sam_vit_t/point_metrics.json
blenderproc_cogar_sim,mobile_sam_vit_t,lightweight_sam,box,ok,zero_shot,0.8826941203343891,0.8728030421604923,0.7572255628171413,0.9282403035616218,0.7903139437768473,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/mobile_sam_vit_t/box_metrics.json
blenderproc_cogar_sim,mobile_sam_vit_t,lightweight_sam,automatic,ok,zero_shot,0.8100797823937922,0.7975408060643621,0.47115992832101244,0.6088086462610861,0.47176830642486656,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/mobile_sam_vit_t/automatic_metrics.json
blenderproc_cogar_sim,efficient_sam_ti,lightweight_sam,point,ok,zero_shot,0.7576928273501166,0.7463162903604211,0.5826088902315941,0.8175124225513029,0.5873919325716119,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_ti/point_metrics.json
blenderproc_cogar_sim,efficient_sam_ti,lightweight_sam,box,ok,zero_shot,0.832278868205347,0.839517485487267,0.7698023783432312,0.9167223138450189,0.8176541357229247,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_ti/box_metrics.json
blenderproc_cogar_sim,efficient_sam_ti,lightweight_sam,automatic,ok,zero_shot,0.12046667292407238,0.036330964919114,0.0036977033763066617,0.015136009184820595,0.0022800110617141696,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_ti/automatic_metrics.json
blenderproc_cogar_sim,efficient_sam_s,lightweight_sam,point,ok,zero_shot,0.795568188817049,0.8126555486981384,0.6399957159546815,0.8423106240793047,0.6455387890590977,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_s/point_metrics.json
blenderproc_cogar_sim,efficient_sam_s,lightweight_sam,box,ok,zero_shot,0.9098034352251153,0.9135743111055248,0.8403368501799527,0.9590135043587872,0.8855325046534039,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_s/box_metrics.json
blenderproc_cogar_sim,efficient_sam_s,lightweight_sam,automatic,ok,zero_shot,0.15418450582906873,0.04554456530766869,0.009809636833893695,0.01551831249027538,0.00865945042661608,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_s/automatic_metrics.json
ocid,mobile_sam_vit_t,lightweight_sam,point,ok,zero_shot,0.6738942327595968,0.6263683551662992,0.4545284188311631,0.6593601371067835,0.5458343562783322,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/mobile_sam_vit_t/point_metrics.json
ocid,mobile_sam_vit_t,lightweight_sam,box,ok,zero_shot,0.8237698787213382,0.7398495075084086,0.6882844607671027,0.918510149292781,0.8174550341483103,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/mobile_sam_vit_t/box_metrics.json
ocid,mobile_sam_vit_t,lightweight_sam,automatic,ok,zero_shot,0.8104633763931351,0.7310294123275562,0.3761732058316651,0.5327220661862131,0.45264224819394433,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/mobile_sam_vit_t/automatic_metrics.json
ocid,efficient_sam_ti,lightweight_sam,point,ok,zero_shot,0.5383066375012849,0.4950349447450912,0.3154535030120085,0.5030385897068388,0.37149683475265455,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_ti/point_metrics.json
ocid,efficient_sam_ti,lightweight_sam,box,ok,zero_shot,0.8278674773401372,0.7368875912811185,0.685614562622116,0.9390337766099862,0.8387993319207921,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_ti/box_metrics.json
ocid,efficient_sam_ti,lightweight_sam,automatic,ok,zero_shot,0.10272048335745534,0.03350827976169552,0.0008999945410103019,0.0035862471693710253,0.00021936771512211172,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_ti/automatic_metrics.json
ocid,efficient_sam_s,lightweight_sam,point,ok,zero_shot,0.6396902716624208,0.5936247679781099,0.38424408484862593,0.6021779085664937,0.4530775296826351,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_s/point_metrics.json
