dataset,prompt_mode,device,selection_metric,model,mIoU,boundary_f1,mask_AP,fps,latency_mean_ms,checkpoint_size_mb,real_time_30fps,miou_fps_product
blenderproc_cogar_sim,automatic,cpu,mIoU,mobile_sam_vit_t,0.8100797823937922,0.7975408060643621,0.47115992832101244,0.006287147285081434,159054.6482619975,40.73,False,0.005093090904576489
blenderproc_cogar_sim,automatic,cuda,mIoU,mobile_sam_vit_t,0.8100797823937922,0.7975408060643621,0.47115992832101244,0.19760006144782039,5060.7271712011425,40.73,False,0.1600718147786503
blenderproc_cogar_sim,box,cpu,mIoU,efficient_sam_s,0.9098034352251153,0.9135743111055248,0.8403368501799527,0.09425424028078147,10609.602252599143,105.74,False,0.08575283159198842
blenderproc_cogar_sim,box,cuda,mIoU,efficient_sam_s,0.9098034352251153,0.9135743111055248,0.8403368501799527,4.308840726810274,232.08098497998435,105.74,False,3.9201980950898703
blenderproc_cogar_sim,point,cpu,mIoU,efficient_sam_s,0.795568188817049,0.8126555486981384,0.6399957159546815,0.09473427147425692,10555.84198239958,105.74,False,0.07536757277567721
blenderproc_cogar_sim,point,cuda,mIoU,efficient_sam_s,0.795568188817049,0.8126555486981384,0.6399957159546815,4.311706374497209,231.9267392405891,105.74,False,3.4302564310696697
isaac_official_unitree_g1,automatic,cpu,mIoU,mobile_sam_vit_t,0.4208394857606574,0.47228421194066794,0.2069815779727984,0.005902356961073096,169423.84315200616,40.73,False,0.0024839448682738383
isaac_official_unitree_g1,automatic,cuda,mIoU,mobile_sam_vit_t,0.4208394857606574,0.47228421194066794,0.2069815779727984,0.2174335818640833,4599.105581699405,40.73,False,0.09150463677877861
isaac_official_unitree_g1,box,cpu,mIoU,efficient_sam_s,0.7321609741016039,0.8584901980277101,0.6413249727601277,0.09560565063200858,10459.632808201422,105.74,False,0.06999872629634903
isaac_official_unitree_g1,box,cuda,mIoU,efficient_sam_s,0.7321609741016039,0.8584901980277101,0.6413249727601277,4.211757346668506,237.43058246007422,105.74,False,3.0836843616164
isaac_official_unitree_g1,point,cpu,mIoU,efficient_sam_ti,0.6031162303287844,0.6879132099513083,0.5099790230522836,0.19720471104398568,5070.872773302835,40.98,False,0.11893736192792584
isaac_official_unitree_g1,point,cuda,mIoU,efficient_sam_ti,0.6031162303287844,0.6879132099513083,0.5099790230522836,8.135888792139685,122.91220118029742,40.98,False,4.906886578689494
ocid,automatic,cpu,mIoU,mobile_sam_vit_t,0.8104633763931351,0.7310294123275562,0.3761732058316651,0.006429676226670611,155528.82676299487,40.73,False,0.005211017103782136
ocid,automatic,cuda,mIoU,mobile_sam_vit_t,0.8104633763931351,0.7310294123275562,0.3761732058316651,0.2293605599162269,4359.947500848648,40.73,False,0.1858883338011252
ocid,box,cpu,mIoU,efficient_sam_s,0.8544621942786068,0.7761996754168248,0.7235365371020155,0.09733021551098817,10274.301713501336,105.74,False,0.08316498951512864
ocid,box,cuda,mIoU,efficient_sam_s,0.8544621942786068,0.7761996754168248,0.7235365371020155,4.287164368917253,233.25441106251674,105.74,False,3.6632198738980946
ocid,point,cpu,mIoU,mobile_sam_vit_t,0.6738942327595968,0.6263683551662992,0.4545284188311631,0.6252640569059043,1599.3242997981724,40.73,False,0.4213618419007572
ocid,point,cuda,mIoU,mobile_sam_vit_t,0.6738942327595968,0.6263683551662992,0.4545284188311631,15.55672698513192,64.28087353822775,40.73,False,10.483588595895991
blenderproc_cogar_sim,automatic,cpu,miou_fps_product,efficient_sam_ti,0.12046667292407238,0.036330964919114,0.0036977033763066617,0.07652363187048085,13067.858588998206,40.98,False,0.009218547331503337
blenderproc_cogar_sim,automatic,cuda,miou_fps_product,efficient_sam_ti,0.12046667292407238,0.036330964919114,0.0036977033763066617,2.517289563148243,397.25266995083075,40.98,False,0.30324949845896043
blenderproc_cogar_sim,box,cpu,miou_fps_product,mobile_sam_vit_t,0.8826941203343891,0.8728030421604923,0.7572255628171413,0.651348202834361,1535.2771308011143,40.73,False,0.5749412289322615
blenderproc_cogar_sim,box,cuda,miou_fps_product,mobile_sam_vit_t,0.8826941203343891,0.8728030421604923,0.7572255628171413,15.736615025539493,63.5460674596834,40.73,False,13.890617557009513
blenderproc_cogar_sim,point,cpu,miou_fps_product,mobile_sam_vit_t,0.7399298711053601,0.7413472190728804,0.5201443042289778,0.6806270630794627,1469.2333794009755,40.73,False,0.5036162950552067
blenderproc_cogar_sim,point,cuda,miou_fps_product,mobile_sam_vit_t,0.7399298711053601,0.7413472190728804,0.5201443042289778,15.617816721903928,64.02943623979809,40.73,False,11.55608911398551
isaac_official_unitree_g1,automatic,cpu,miou_fps_product,mobile_sam_vit_t,0.4208394857606574,0.47228421194066794,0.2069815779727984,0.005902356961073096,169423.84315200616,40.73,False,0.0024839448682738383
isaac_official_unitree_g1,automatic,cuda,miou_fps_product,mobile_sam_vit_t,0.4208394857606574,0.47228421194066794,0.2069815779727984,0.2174335818640833,4599.105581699405,40.73,False,0.09150463677877861
isaac_official_unitree_g1,box,cpu,miou_fps_product,mobile_sam_vit_t,0.6925852020345012,0.8210675122169974,0.5595626730737662,0.5770515343311834,1732.947476101981,40.73,False,0.3996573534890816
isaac_official_unitree_g1,box,cuda,miou_fps_product,mobile_sam_vit_t,0.6925852020345012,0.8210675122169974,0.5595626730737662,16.89468795704245,59.19020241999533,40.73,False,11.7010108720381
isaac_official_unitree_g1,point,cpu,miou_fps_product,mobile_sam_vit_t,0.5163515736979809,0.5984705244977367,0.3914736396846011,0.5733646499090024,1744.090780899569,40.73,False,0.29605773928330525
isaac_official_unitree_g1,point,cuda,miou_fps_product,mobile_sam_vit_t,0.5163515736979809,0.5984705244977367,0.3914736396846011,16.836411910606394,59.39507807896007,40.73,False,8.693507785469041
